food_id,name,default_label,default_complete,verified_fields,other_source_fields,missing_fields,available_estimate_ids,available_variant_ids
FC000001,"Rice, well-milled, boiled",Verified,True,8,0,,,
FC000002,"Rice, well-milled, fried",Verified,True,8,0,,,
FC000003,"Rice, undermilled",Verified,True,8,0,,,
FC000004,"Rice, glutinous",Verified,True,8,0,,,
FC000005,"Corn on cob, yellow, boiled",Verified,True,8,0,,,
FC000006,"Bread, pan de sal",Verified,True,8,0,,,
FC000007,"Bread, pan de monay",Verified,True,8,0,,,
FC000008,"Bread, sweet roll",Verified,True,8,0,,,
FC000009,"Bread, pan de coco",Verified,True,8,0,,,
FC000010,"Bread, white loaf",Verified,True,8,0,,,
FC000011,"Bread, toasted",Verified,True,8,0,,,
FC000012,"Bread, Spanish bread",Verified,False,5,0,sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,
FC000013,"Cake, mamon",Verified,True,8,0,,,
FC000014,"Rice noodles, cooked",Verified,True,8,0,,,
FC000015,"Egg noodles, cooked",Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000131;FC000132;FC000133;FC000147
FC000016,"Egg, chicken, whole, boiled",Verified,True,8,0,,,
FC000017,"Egg, chicken, whole",Verified,True,8,0,,,
FC000018,"Egg, duck, whole",Verified,True,8,0,,,
FC000019,"Soybean cheese, hard curd",Verified,True,8,0,,,
FC000020,"Soybean cheese, soft curd",Verified,True,8,0,,,
FC000021,"Mung bean seed, green, dried, boiled",Verified,True,8,0,,,
FC000022,"Peanut, roasted",Verified,False,7,0,sugar_g_100g,EST_PEANUT_SUGAR_V1,
FC000023,Pili nut,Verified,False,6,0,fiber_g_100g;sugar_g_100g,,
FC000024,Chicken breast,Verified,True,8,0,,,
FC000025,Chicken thigh,Verified,True,8,0,,,
FC000026,Chicken leg/drumstick,Verified,True,8,0,,,
FC000027,Chicken wing,Verified,True,8,0,,,
FC000028,Chicken liver,Verified,True,8,0,,,
FC000029,"Chicken, whole meat",Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000101
FC000030,Beef lean meat,Verified,True,8,0,,,
FC000031,"Beef lean meat, boiled",Verified,False,7,0,cholesterol_mg_100g,,
FC000032,"Beef lean meat, fried",Verified,False,7,0,cholesterol_mg_100g,,
FC000033,Beef liver,Verified,True,8,0,,,
FC000034,Ground beef,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000134;FC000135;FC000136;FC000137
FC000035,Pork belly,Verified,True,8,0,,,
FC000036,"Pork belly, broiled",Verified,True,8,0,,,
FC000037,"Pork belly, fried",Verified,True,8,0,,,
FC000038,Pork Boston butt / shoulder,Verified,False,7,0,cholesterol_mg_100g,,
FC000039,Pork lean meat,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000102
FC000040,Ground pork,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000138;FC000139
FC000041,Pork liver,Verified,True,8,0,,,
FC000042,Pork skin,Verified,True,8,0,,,
FC000043,Longganisa,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000103;FC000104;FC000105
FC000044,Tocino,Verified,True,8,0,,,
FC000045,Beef tapa,Verified,True,8,0,,,
FC000046,Milkfish,Verified,True,8,0,,,
FC000047,"Milkfish, broiled",Verified,True,8,0,,,
FC000048,"Milkfish, dried",Verified,False,7,0,cholesterol_mg_100g,,
FC000049,Tilapia,Other source,True,7,1,,,
FC000050,Round scad,Verified,False,7,0,cholesterol_mg_100g,,
FC000051,Indian mackerel,Verified,True,8,0,,,
FC000052,Skipjack tuna,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000140;FC000141
FC000053,Yellowfin tuna,Other source,True,7,1,,,
FC000054,Sardines,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000106;FC000107;FC000108
FC000055,"Anchovy, dried",Verified,False,7,0,sodium_mg_100g,,
FC000056,"Herring, dried",Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,
FC000057,Shrimp,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000109;FC000110;FC000111
FC000058,Squid,Verified,True,8,0,,,
FC000059,Crab,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000112;FC000113
FC000060,Mussels,Verified,False,7,0,cholesterol_mg_100g,,
FC000061,Tomato,Verified,True,8,0,,,
FC000062,Eggplant,Verified,True,8,0,,,
FC000063,Bitter melon/gourd fruit,Verified,True,8,0,,,
FC000064,Squash fruit,Verified,True,8,0,,,
FC000065,Chinese cabbage,Verified,True,8,0,,,
FC000066,Bok choy / pechay,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000114;FC000115;FC000142;FC000143
FC000067,Carrot,Verified,True,8,0,,,
FC000068,"Onion, Bombay bulb",Verified,True,8,0,,,
FC000069,"Onion, garden shallot bulb",Verified,True,8,0,,,
FC000070,Garlic bulb,Verified,True,8,0,,,
FC000071,String beans,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000116;FC000117;FC000118
FC000072,Yardlong bean,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000116;FC000117;FC000118
FC000073,Water spinach,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000119
FC000074,Moringa leaves,Verified,True,8,0,,,
FC000075,Chayote,Verified,True,8,0,,,
FC000076,"Banana, lakatan",Verified,True,8,0,,,
FC000077,"Banana, latundan",Verified,True,8,0,,,
FC000078,"Banana, saba",Verified,True,8,0,,,
FC000079,"Banana, saba, boiled",Verified,True,8,0,,,
FC000080,"Mango, ripe",Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000120;FC000121;FC000122
FC000081,"Papaya, ripe",Verified,True,8,0,,,
FC000082,Pineapple,Verified,True,8,0,,,
FC000083,Watermelon,Verified,True,8,0,,,
FC000084,Guava,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000123;FC000124
FC000085,Calamansi,Verified,True,8,0,,,
FC000086,Pomelo,Verified,True,8,0,,,
FC000087,Avocado,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000125;FC000126
FC000088,"Sweet potato, white, boiled",Verified,True,8,0,,,
FC000089,"Sweet potato, yellow, boiled",Verified,True,8,0,,,
FC000090,Cassava,Verified,True,8,0,,,
FC000091,Taro corm,Verified,True,8,0,,,
FC000092,Purple yam,Verified,True,8,0,,,
FC000093,Fresh cow's milk,Verified,True,8,0,,,
FC000094,Evaporated milk,Verified,True,8,0,,,
FC000095,Powdered milk,Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,,FC000127;FC000128;FC000129;FC000130
FC000096,Butter,Verified,True,8,0,,,
FC000097,Coconut milk,Verified,False,7,0,sugar_g_100g,,FC000144;FC000145
FC000098,Coconut oil,Verified,True,8,0,,,
FC000099,Soy sauce,Verified,True,8,0,,,
FC000100,Fish sauce,Verified,False,7,0,sugar_g_100g,,FC000146
FC000101,"Chicken, whole",Verified,True,8,0,,,
FC000102,"Pork Boston butt, lean",Verified,False,7,0,cholesterol_mg_100g,,
FC000103,"Sausage, chicken",Verified,True,8,0,,,
FC000104,"Sausage, pork",Verified,False,7,0,sugar_g_100g,,
FC000105,"Sausage, pork & beef",Verified,True,8,0,,,
FC000106,"Sardine, Indian",Verified,True,8,0,,,
FC000107,"Sardines, in spiced oil, cnd",Verified,True,8,0,,,
FC000108,"Sardines, in tomato sce, cnd",Verified,True,8,0,,,
FC000109,"Shrimp, banana prawn",Verified,True,8,0,,,
FC000110,"Shrimp, giant tiger prawn",Verified,True,8,0,,,
FC000111,"Shrimp, greasy back",Verified,True,8,0,,,
FC000112,"Crab, blue swimming, w/o fat",Verified,False,7,0,cholesterol_mg_100g,,
FC000113,"Crab, mud/mangrove, w/o fat",Verified,False,7,0,cholesterol_mg_100g,,
FC000114,Pechay lvs,Verified,True,8,0,,,
FC000115,Pechay petioles,Verified,True,8,0,,,
FC000116,"String/Yard long bean pod, green",Verified,False,7,0,sugar_g_100g,,
FC000117,"String/Yard long bean pod, red",Verified,False,7,0,sugar_g_100g,,
FC000118,"String/Yard long bean pod, white",Verified,False,7,0,sugar_g_100g,,
FC000119,Swamp cabbage lvs,Verified,True,8,0,,,
FC000120,"Mango, Manila super, ripe",Verified,True,8,0,,,
FC000121,"Mango, piko, ripe",Verified,True,8,0,,,
FC000122,"Mango, supsupin, ripe",Verified,True,8,0,,,
FC000123,"Guava, red",Verified,True,8,0,,,
FC000124,"Guava, white",Verified,True,8,0,,,
FC000125,"Avocado, green",Verified,True,8,0,,,
FC000126,"Avocado, red",Verified,True,8,0,,,
FC000127,"Milk, powder, filled, instant",Verified,True,8,0,,,
FC000128,"Milk, powder, full cream",Verified,True,8,0,,,
FC000129,"Milk, powder, non-fat, instant",Verified,True,8,0,,,
FC000130,"Milk, powder, skim",Verified,True,8,0,,,
FC000131,"Noodles, wheat, canton, dry",Verified,True,8,0,,,
FC000132,"Noodles, egg, cooked, enriched, with added salt",Other source,True,0,8,,,
FC000133,"Noodles, egg, cooked, unenriched, with added salt",Other source,True,0,8,,,
FC000134,"Beef, ground, 90% lean meat / 10% fat, raw",Other source,True,0,8,,,
FC000135,"Beef, ground, 80% lean meat / 20% fat, raw",Other source,True,0,8,,,
FC000136,"Beef, ground, 90% lean meat / 10% fat, crumbles, cooked, pan-browned",Other source,True,0,8,,,
FC000137,"Beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",Other source,True,0,8,,,
FC000138,"Pork, fresh, ground, raw",Other source,False,0,7,sugar_g_100g,,
FC000139,"Pork, fresh, ground, cooked",Other source,True,0,8,,,
FC000140,"Fish, tuna, fresh, skipjack, raw",Other source,False,0,7,sugar_g_100g,,
FC000141,"Fish, tuna, skipjack, fresh, cooked, dry heat",Other source,False,0,7,sugar_g_100g,,
FC000142,"Cabbage, chinese (pak-choi), raw",Other source,True,0,8,,,
FC000143,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",Other source,True,0,8,,,
FC000144,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",Other source,True,0,8,,,
FC000145,"Nuts, coconut milk, canned (liquid expressed from grated meat and water)",Other source,False,0,6,fiber_g_100g;sugar_g_100g,,
FC000146,"Sauce, fish, ready-to-serve",Other source,True,0,8,,,
FC000147,"Canton noodles, cooked in water, 2.5x dry-weight yield (estimate)",Unavailable,False,0,0,kcal_100g;protein_g_100g;carbs_g_100g;fat_g_100g;fiber_g_100g;sugar_g_100g;sodium_mg_100g;cholesterol_mg_100g,EST_CANTON_YIELD_V1,
FC000148,"Noodles, mung bean starch, boiled",Verified,True,8,0,,,
FC000149,"Noodles, wheat, thin, boiled",Verified,True,8,0,,,
FC000150,"Noodles, wheat, miki, dry, boiled",Verified,True,8,0,,,
FC000151,"Oats, quick-cooking, ckd",Verified,True,8,0,,,
FC000152,"Pasta, spaghetti, boiled",Verified,True,8,0,,,
FC000153,Hopyang baboy,Verified,True,8,0,,,
FC000154,Hopyang Hapon,Verified,False,7,0,cholesterol_mg_100g,,
FC000155,Hopyang munggo,Verified,False,7,0,cholesterol_mg_100g,,
FC000156,"Noodles, mung bean starch",Verified,True,8,0,,,
FC000157,"Oatmeal, instant",Verified,True,8,0,,,
FC000158,"Oats, quick-cooking",Verified,True,8,0,,,
FC000159,"Pasta, macaroni",Verified,True,8,0,,,
FC000160,"Pasta, spaghetti",Verified,True,8,0,,,
FC000161,"Rice cake (glutinous), bibingka",Verified,True,8,0,,,
FC000162,"Rice cake (glutinous), biko",Verified,True,8,0,,,
FC000163,"Rice cake, bibingka",Verified,True,8,0,,,
FC000164,"Rice cake, puto bumbong, purple",Verified,True,8,0,,,
FC000165,"Rice cake, puto, white",Verified,True,8,0,,,
FC000166,"Rice cake, cuchinta",Verified,True,8,0,,,
FC000167,"Rice prep (glutinous), palitaw",Verified,True,8,0,,,
FC000168,"Rice prep (glutinous), sapin-sapin",Verified,True,8,0,,,
FC000169,"Rice prep (glutinous), suman sa ibos",Verified,True,8,0,,,
FC000170,"Rice prep (glutinous), suman, lye-treated",Verified,True,8,0,,,
FC000171,"Spring roll wrapper, plain",Verified,True,8,0,,,
FC000172,"Wheat flour, all-purpose",Verified,True,8,0,,,
FC000173,"Bread, brown",Verified,True,8,0,,,
FC000174,"Bread, cheese roll",Verified,True,8,0,,,
FC000175,"Bread, pan de leche",Verified,True,8,0,,,
FC000176,"Cake, banana",Verified,True,8,0,,,
FC000177,"Cake, kababayan",Verified,True,8,0,,,
FC000178,"Cookies, otap",Verified,True,8,0,,,
FC000179,"Rice, glutinous, parboiled, flattened",Verified,True,8,0,,,
FC000180,"Rice, undermilled, glutinous, purple, boiled",Verified,True,8,0,,,
FC000181,"Rice-corn mixture (1:1), boiled",Verified,True,8,0,,,
FC000182,"Rice water, ckd, thin",Verified,True,8,0,,,
FC000183,"Corn grits, white",Verified,True,8,0,,,
FC000184,"Corn grits, yellow",Verified,True,8,0,,,
FC000185,"Corn on cob, white",Verified,True,8,0,,,
FC000186,"Corn on cob, yellow",Verified,True,8,0,,,
FC000187,"Cornmeal, white",Verified,True,8,0,,,
FC000188,"Cornmeal, yellow",Verified,True,8,0,,,
FC000189,Rice bran,Verified,True,8,0,,,
FC000190,"Rice, milled, glutinous, milled w/ water",Verified,True,8,0,,,
FC000191,"Rice, undermilled, glutinous, purple",Verified,True,8,0,,,
FC000192,"Rice, undermilled, red",Verified,True,8,0,,,
FC000193,"Rice, well-milled",Verified,True,8,0,,,
FC000194,Rice-corn mixture (1:1),Verified,True,8,0,,,
FC000195,Bicho-bicho,Verified,True,8,0,,,
FC000196,Karyoka,Verified,True,8,0,,,
FC000197,"Noodles, rice, fideos",Verified,True,8,0,,,
FC000198,"Cassava, boiled",Verified,True,8,0,,,
FC000199,"Potato, boiled",Verified,True,8,0,,,
FC000200,"Sweet potato, purple, boiled",Verified,True,8,0,,,
FC000201,"Taro, boiled",Verified,True,8,0,,,
