food_id,batch_id,source_food_id,name,category,source_url,selection_reason
FC000148,01-staples,A135,"Noodles, mung bean starch, boiled","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3097,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000149,01-staples,A145,"Noodles, wheat, thin, boiled","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3107,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000150,01-staples,A147,"Noodles, wheat, miki, dry, boiled","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3109,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000151,01-staples,A150,"Oats, quick-cooking, ckd","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3112,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000152,01-staples,A154,"Pasta, spaghetti, boiled","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3116,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000153,01-staples,A127,Hopyang baboy,"Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3089,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000154,01-staples,A128,Hopyang Hapon,"Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3090,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000155,01-staples,A129,Hopyang munggo,"Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3091,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000156,01-staples,A134,"Noodles, mung bean starch","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3096,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000157,01-staples,A148,"Oatmeal, instant","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3110,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000158,01-staples,A149,"Oats, quick-cooking","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3111,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000159,01-staples,A152,"Pasta, macaroni","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3114,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000160,01-staples,A153,"Pasta, spaghetti","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3115,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000161,01-staples,A167,"Rice cake (glutinous), bibingka","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3129,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000162,01-staples,A168,"Rice cake (glutinous), biko","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3130,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000163,01-staples,A173,"Rice cake, bibingka","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3135,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000164,01-staples,A175,"Rice cake, puto bumbong, purple","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3137,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000165,01-staples,A177,"Rice cake, puto, white","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3139,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000166,01-staples,A179,"Rice cake, cuchinta","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3141,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000167,01-staples,A188,"Rice prep (glutinous), palitaw","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3150,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000168,01-staples,A190,"Rice prep (glutinous), sapin-sapin","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3152,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000169,01-staples,A191,"Rice prep (glutinous), suman sa ibos","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3153,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000170,01-staples,A192,"Rice prep (glutinous), suman, lye-treated","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3154,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000171,01-staples,A200,"Spring roll wrapper, plain","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3162,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000172,01-staples,A201,"Wheat flour, all-purpose","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3163,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000173,01-staples,A031,"Bread, brown","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/2993,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000174,01-staples,A032,"Bread, cheese roll","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/2994,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000175,01-staples,A039,"Bread, pan de leche","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3001,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000176,01-staples,A051,"Cake, banana","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3013,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
FC000177,01-staples,A059,"Cake, kababayan","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3021,"FNRI primary record; prioritized common food family and preparation. This is editorial prioritization, not a consumption-frequency ranking."
