food_id,batch_id,source,source_food_id,name,category,source_url
FC001148,batch-1,FNRI,Q001,"Ceylon moss/Agar-agar, in light syrup",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4360
FC001149,batch-1,FNRI,Q005,"Choc-flvr energy drnk, granules, fortified",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4364
FC001150,batch-1,FNRI,Q006,"Choc-flvr energy drnk, pwdr, fortified",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4365
FC001151,batch-1,FNRI,Q007,"Choc-flvr food milk, pwdr",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4366
FC001152,batch-1,FNRI,Q017,"Fruit jce drnk conc, grape",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4376
FC001153,batch-1,FNRI,Q018,"Fruit jce drnk conc, grapefruit",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4377
FC001154,batch-1,FNRI,Q022,"Fruit jce drnk, apple, ttb",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4381
FC001155,batch-1,FNRI,Q023,"Fruit jce drnk, citrus cooler, ttb",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4382
FC001156,batch-1,FNRI,Q025,"Fruit jce drnk, grape, ttpk",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4384
FC001157,batch-1,FNRI,Q026,"Fruit jce drnk, guava, ttpk",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4385
FC001158,batch-1,FNRI,Q027,"Fruit jce drnk, guyabano, btl",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4386
FC001159,batch-1,FNRI,Q028,"Fruit jce drnk, mango, btl",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4387
FC001160,batch-1,FNRI,Q029,"Fruit jce drnk, mango, polyfoil",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4388
FC001161,batch-1,FNRI,Q030,"Fruit jce drnk, mango, ttb",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4389
FC001162,batch-1,FNRI,Q031,"Fruit jce drnk, orange & pineapple, ttb",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4390
FC001163,batch-1,FNRI,Q032,"Fruit jce drnk, orange, btl",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4391
FC001164,batch-1,FNRI,Q033,"Fruit jce drnk, orange, polyfoil",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4392
FC001165,batch-1,FNRI,Q034,"Fruit jce drnk, orange, ttb",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4393
FC001166,batch-1,FNRI,Q035,"Fruit jce drnk, pineapple & lychee, ttb",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4394
FC001167,batch-1,FNRI,Q036,"Fruit jce drnk, pineapple & orange, cnd",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4395
FC001168,batch-1,FNRI,Q037,"Fruit jce drnk, pineapple, ttb",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4396
FC001169,batch-1,FNRI,Q038,"Fruit jce drnk, strawberry, polyfoil",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4397
FC001170,batch-1,FNRI,Q039,"Fruit jce drnk, sugarcane, ttb",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4398
FC001171,batch-1,FNRI,Q040,"Fruit-flvr drnk conc, orange",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4399
FC001172,batch-1,FNRI,Q041,"Fruit-flvr drnk conc, strawberry",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4400
FC001173,batch-1,FNRI,Q042,"Fruit-flvr drnk, pwdr, orange",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4401
FC001174,batch-1,FNRI,Q047,"Juice, pineapple & grapefruit, cnd",Beverages,https://i.fnri.dost.gov.ph/fct/library/report/4406
