source,source_food_id,name,reason
USDA,167816,"Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,167859,"Pork, fresh, variety meats and by-products, feet, raw",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,167860,"Pork, fresh, variety meats and by-products, kidneys, cooked, braised",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,167862,"Pork, fresh, variety meats and by-products, liver, raw",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,167863,"Pork, fresh, variety meats and by-products, liver, cooked, braised",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,167865,"Pork, fresh, variety meats and by-products, spleen, raw",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,167866,"Pork, fresh, variety meats and by-products, spleen, cooked, braised",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,167870,"Pork, cured, feet, pickled",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,168264,"Pork, fresh, variety meats and by-products, brain, raw",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,168265,"Pork, fresh, variety meats and by-products, brain, cooked, braised",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,168270,"Pork, fresh, variety meats and by-products, kidneys, raw",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,168275,"Pork, fresh, variety meats and by-products, tongue, raw",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,168276,"Pork, fresh, variety meats and by-products, tongue, cooked, braised",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,168277,"Pork, cured, bacon, unprepared",Source sugar exceeds carbohydrate; exclude rather than cap.
USDA,168290,"Pork, fresh, variety meats and by-products, feet, cooked, simmered",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,168608,"Beef, grass-fed, ground, raw",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168609,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168610,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, braised",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168611,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168612,"Beef, rib, eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, raw",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168613,"Beef, rib, shortribs, separable lean and fat, choice, cooked, braised",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168614,"Beef, rib, shortribs, separable lean only, choice, raw",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168615,"Beef, rib, shortribs, separable lean only, choice, cooked, braised",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168616,"Beef, round, full cut, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168617,"Beef, round, full cut, separable lean only, trimmed to 1/4"" fat, select, cooked, broiled",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168618,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168619,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, raw",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168620,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168621,"Beef, rib eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, select, raw",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168622,"Beef, variety meats and by-products, brain, raw",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,168623,"Beef, variety meats and by-products, brain, cooked, pan-fried",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,168624,"Beef, variety meats and by-products, brain, cooked, simmered",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,168626,"Beef, variety meats and by-products, liver, cooked, braised",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,168627,"Beef, variety meats and by-products, liver, cooked, pan-fried",Outside generic everyday-food focus; branded legacy formulations not current Philippine labels.
USDA,168631,"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168633,"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168635,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168636,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168639,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168640,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168641,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168644,"Beef, short loin, t-bone steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168645,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, select, raw",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168646,"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, choice, raw",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
USDA,168647,"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, select, raw",Avoid multiplying grade/origin variants; prefer all-grades generic cuts.
