food_id,batch_id,source,source_food_id,name,category,source_url
FC001310,batch-1,FNRI,A009,"Millet, glutinous","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/2971
FC001311,batch-1,FNRI,A024,Sorghum,"Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/2986
FC001312,batch-1,FNRI,A025,"Sorghum, boiled","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/2987
FC001313,batch-1,FNRI,A049,Bunuelos,"Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3011
FC001314,batch-1,FNRI,A062,"Cake, marshmallow roll","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3024
FC001315,batch-1,FNRI,A064,"Cake, pineapple roll","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3026
FC001316,batch-1,FNRI,A069,"Chips, corn, natural flvr","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3031
FC001317,batch-1,FNRI,A070,"Chips, corn-potato based, cheese flvr","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3032
FC001318,batch-1,FNRI,A071,"Chips, corn, taco & bbq flvr","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3033
FC001319,batch-1,FNRI,A072,"Chips, corn, taco flvr","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3034
FC001320,batch-1,FNRI,A076,"Chips, prawn crackers, flvrd","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3038
FC001321,batch-1,FNRI,A078,"Chips, shrimp kroepeck","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3040
FC001322,batch-1,FNRI,A080,"Chips, sticks, onion flvr","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3042
FC001323,batch-1,FNRI,A081,"Chips, tortilla, bbq flvr","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3043
FC001324,batch-1,FNRI,A082,"Chips, tortilla, nacho cheese flvr","Rice, Grains & Bakery",https://i.fnri.dost.gov.ph/fct/library/report/3044
