source,source_food_id,name,reason
USDA,168777,"Desserts, mousse, chocolate, prepared-from-recipe",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,169613,"Frozen novelties, ice type, fruit, no sugar added",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,169595,"Desserts, egg custard, baked, prepared-from-recipe",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,167578,"Candies, fudge, peanut butter, prepared-from-recipe",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,170673,"Sweeteners, for baking, contains sugar and sucralose",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,167574,"Desserts, flan, caramel custard, prepared-from-recipe",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,169900,"Frozen novelties, ice cream type, sundae, prepackaged",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,170280,"Jams, preserves, marmalades, sweetened with fruit juice",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,168812,"Frozen novelties, ice type, italian, restaurant-prepared",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,167988,"Candies, fudge, chocolate, with nuts, prepared-from-recipe",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,170672,"Sweeteners, for baking, brown, contains sugar and sucralose",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,168103,"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,170646,"Syrups, table blends, pancake, with 2% maple, with added potassium",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,168130,"Frozen novelties, ice cream type, chocolate or caramel covered, with nuts",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,167995,"Candies, marshmallows",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,167996,"Candies, halavah, plain",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,169664,"Toppings, marshmallow cream",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,170659,"Ice creams, vanilla, fat free",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,169062,"Pie fillings, cherry, low calorie",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,168794,"Desserts, rennin, tablets, unsweetened",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,168145,"Jellies, reduced sugar, home preserved",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,167706,"Jams, preserves, marmalade, reduced sugar",Deferred after category quota; not discarded or represented as Philippine branded data.
USDA,168798,"Puddings, tapioca, ready-to-eat, fat free",Deferred after category quota; not discarded or represented as Philippine branded data.
