recipe_id,food_id,estimate_id,name,family_alias,modeled_final_edible_mass_g,yield_status,ingredient_count,missing_nutrients,household_serving_weight_g,notes
PH_DISH_001,FC001260,EST_PH_DISH_001_V1,"Adobong manok, white meat (recipe estimate)",Chicken adobo,700,ASSUMED_SUM_OF_COMPONENT_MASSES,6,cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_002,FC001261,EST_PH_DISH_002_V1,"Adobong baboy, pork belly (recipe estimate)",Pork adobo,670,ASSUMED_SUM_OF_COMPONENT_MASSES,5,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_003,FC001262,EST_PH_DISH_003_V1,"Adobong baboy, lean shoulder (recipe estimate)",Pork adobo,680,ASSUMED_SUM_OF_COMPONENT_MASSES,6,cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_004,FC001263,EST_PH_DISH_004_V1,"Adobong manok at baboy, white meat and belly (recipe estimate)",Chicken pork adobo,830,ASSUMED_SUM_OF_COMPONENT_MASSES,6,cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_005,FC001264,EST_PH_DISH_005_V1,"Adobong pusit, no ink (recipe estimate)",Squid adobo,755,ASSUMED_SUM_OF_COMPONENT_MASSES,8,cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_006,FC001265,EST_PH_DISH_006_V1,"Adobong kangkong, leaves (recipe estimate)",Water spinach adobo,615,ASSUMED_SUM_OF_COMPONENT_MASSES,7,,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_007,FC001266,EST_PH_DISH_007_V1,"Adobong sitaw, with lean pork (recipe estimate)",Yardlong bean adobo,820,ASSUMED_SUM_OF_COMPONENT_MASSES,8,sugar_g_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_008,FC001267,EST_PH_DISH_008_V1,"Tinolang manok, white meat, sayote and malunggay (recipe estimate)",Chicken tinola,1735,ASSUMED_SUM_OF_COMPONENT_MASSES,9,sugar_g_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_009,FC001268,EST_PH_DISH_009_V1,"Tinolang manok, white meat, sayote, no added oil (recipe estimate)",Chicken tinola,1715,ASSUMED_SUM_OF_COMPONENT_MASSES,7,sugar_g_100g;cholesterol_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
PH_DISH_010,FC001269,EST_PH_DISH_010_V1,"Sinigang na baboy, belly, tamarind and vegetables (recipe estimate)",Pork sinigang,2005,ASSUMED_SUM_OF_COMPONENT_MASSES,9,fiber_g_100g;sugar_g_100g;sodium_mg_100g,,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients."
