food_id,source_name,display_name,source_url,data_status,notes
FC000127,"Milk, pwdr, filled, inst","Milk, powder, filled, instant",https://i.fnri.dost.gov.ph/fct/library/report/4253,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC000128,"Milk, pwdr, full cream","Milk, powder, full cream",https://i.fnri.dost.gov.ph/fct/library/report/4254,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC000129,"Milk, pwdr, non-fat, inst","Milk, powder, non-fat, instant",https://i.fnri.dost.gov.ph/fct/library/report/4256,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC000130,"Milk, pwdr, skim","Milk, powder, skim",https://i.fnri.dost.gov.ph/fct/library/report/4257,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC000601,"Ice cream, strawberry flvr","Ice cream, strawberry flavor",https://i.fnri.dost.gov.ph/fct/library/report/4243,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC000605,"Milk, sweetn, cond, filled","Milk, sweetened, condensed, filled",https://i.fnri.dost.gov.ph/fct/library/report/4259,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC000606,"Milk drink, recon, strawberry, UHT","Milk drink, reconstituted, strawberry, UHT",https://i.fnri.dost.gov.ph/fct/library/report/4245,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC000643,"Coffee, roasted","Coffee, roasted (dry product)",https://i.fnri.dost.gov.ph/fct/library/report/4372,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers. Dry-state interpretation supported by source water 2.2 g/100 g and energy 406 kcal/100 g. Do not use for a brewed cup; no dilution assumed."
FC000645,"Coffee, creamer & sugar (3 in 1)","Coffee, creamer & sugar (3 in 1) (dry product)",https://i.fnri.dost.gov.ph/fct/library/report/4370,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers. Dry-state interpretation supported by source water 1.3 g/100 g and energy 392 kcal/100 g. Do not use for a brewed cup; no dilution assumed."
FC000646,"Coffee, inst, 100% pure","Coffee, instant, 100% pure (dry product)",https://i.fnri.dost.gov.ph/fct/library/report/4371,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers. Dry-state interpretation supported by source water 3.3 g/100 g and energy 329 kcal/100 g. Do not use for a brewed cup; no dilution assumed."
FC000647,"Cocoa, pwdr, imported","Cocoa, powder, imported",https://i.fnri.dost.gov.ph/fct/library/report/4367,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC000998,"Choc-flvr drink, prep","chocolate-flavor drink, prepared",https://i.fnri.dost.gov.ph/fct/library/report/4361,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC000999,"Choc-flvr drink, pwdr","chocolate-flavor drink, powder",https://i.fnri.dost.gov.ph/fct/library/report/4362,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001000,"Choc-flvr drink, UHT","chocolate-flavor drink, UHT",https://i.fnri.dost.gov.ph/fct/library/report/4363,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001001,"Cocoa, pwdr, local","Cocoa, powder, local",https://i.fnri.dost.gov.ph/fct/library/report/4368,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001002,"Fruit jce drnk conc, calamansi","Fruit juice drink concentrate, calamansi",https://i.fnri.dost.gov.ph/fct/library/report/4375,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001003,"Fruit jce drnk conc, guyabano","Fruit juice drink concentrate, guyabano",https://i.fnri.dost.gov.ph/fct/library/report/4378,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001004,"Fruit jce drnk conc, mango","Fruit juice drink concentrate, mango",https://i.fnri.dost.gov.ph/fct/library/report/4379,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001005,"Fruit jce drnk conc, orange","Fruit juice drink concentrate, orange",https://i.fnri.dost.gov.ph/fct/library/report/4380,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001006,"Juice, apple, cnd","Juice, apple, canned",https://i.fnri.dost.gov.ph/fct/library/report/4402,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001009,"Juice, orange, unsweetn, cnd","Juice, orange, unsweetened, canned",https://i.fnri.dost.gov.ph/fct/library/report/4405,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001010,"Juice, pineapple, cnd","Juice, pineapple, canned",https://i.fnri.dost.gov.ph/fct/library/report/4407,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001012,"Juice, tomato, cnd","Juice, tomato, canned",https://i.fnri.dost.gov.ph/fct/library/report/4409,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001015,"Softdrink, orange flvr","Softdrink, orange flavor",https://i.fnri.dost.gov.ph/fct/library/report/4413,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001016,Soybean milk drnk,Soybean milk drink,https://i.fnri.dost.gov.ph/fct/library/report/4418,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001017,"Tea, prep w/ water, no sugar","Tea, prepared with  water, no sugar",https://i.fnri.dost.gov.ph/fct/library/report/5008,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001149,"Choc-flvr energy drnk, granules, fortified","chocolate-flavor energy drink, granules, fortified",https://i.fnri.dost.gov.ph/fct/library/report/4364,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001150,"Choc-flvr energy drnk, pwdr, fortified","chocolate-flavor energy drink, powder, fortified",https://i.fnri.dost.gov.ph/fct/library/report/4365,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001151,"Choc-flvr food milk, pwdr","chocolate-flavor food milk, powder",https://i.fnri.dost.gov.ph/fct/library/report/4366,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001152,"Fruit jce drnk conc, grape","Fruit juice drink concentrate, grape",https://i.fnri.dost.gov.ph/fct/library/report/4376,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001153,"Fruit jce drnk conc, grapefruit","Fruit juice drink concentrate, grapefruit",https://i.fnri.dost.gov.ph/fct/library/report/4377,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001154,"Fruit jce drnk, apple, ttb","Fruit juice drink, apple, ttb",https://i.fnri.dost.gov.ph/fct/library/report/4381,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001155,"Fruit jce drnk, citrus cooler, ttb","Fruit juice drink, citrus cooler, ttb",https://i.fnri.dost.gov.ph/fct/library/report/4382,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001156,"Fruit jce drnk, grape, ttpk","Fruit juice drink, grape, ttpk",https://i.fnri.dost.gov.ph/fct/library/report/4384,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001157,"Fruit jce drnk, guava, ttpk","Fruit juice drink, guava, ttpk",https://i.fnri.dost.gov.ph/fct/library/report/4385,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001158,"Fruit jce drnk, guyabano, btl","Fruit juice drink, guyabano, bottled",https://i.fnri.dost.gov.ph/fct/library/report/4386,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001159,"Fruit jce drnk, mango, btl","Fruit juice drink, mango, bottled",https://i.fnri.dost.gov.ph/fct/library/report/4387,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001160,"Fruit jce drnk, mango, polyfoil","Fruit juice drink, mango, polyfoil",https://i.fnri.dost.gov.ph/fct/library/report/4388,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001161,"Fruit jce drnk, mango, ttb","Fruit juice drink, mango, ttb",https://i.fnri.dost.gov.ph/fct/library/report/4389,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001162,"Fruit jce drnk, orange & pineapple, ttb","Fruit juice drink, orange & pineapple, ttb",https://i.fnri.dost.gov.ph/fct/library/report/4390,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001163,"Fruit jce drnk, orange, btl","Fruit juice drink, orange, bottled",https://i.fnri.dost.gov.ph/fct/library/report/4391,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001164,"Fruit jce drnk, orange, polyfoil","Fruit juice drink, orange, polyfoil",https://i.fnri.dost.gov.ph/fct/library/report/4392,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001165,"Fruit jce drnk, orange, ttb","Fruit juice drink, orange, ttb",https://i.fnri.dost.gov.ph/fct/library/report/4393,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001166,"Fruit jce drnk, pineapple & lychee, ttb","Fruit juice drink, pineapple & lychee, ttb",https://i.fnri.dost.gov.ph/fct/library/report/4394,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001167,"Fruit jce drnk, pineapple & orange, cnd","Fruit juice drink, pineapple & orange, canned",https://i.fnri.dost.gov.ph/fct/library/report/4395,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001168,"Fruit jce drnk, pineapple, ttb","Fruit juice drink, pineapple, ttb",https://i.fnri.dost.gov.ph/fct/library/report/4396,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001169,"Fruit jce drnk, strawberry, polyfoil","Fruit juice drink, strawberry, polyfoil",https://i.fnri.dost.gov.ph/fct/library/report/4397,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001170,"Fruit jce drnk, sugarcane, ttb","Fruit juice drink, sugarcane, ttb",https://i.fnri.dost.gov.ph/fct/library/report/4398,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001171,"Fruit-flvr drnk conc, orange","Fruit-flavor drink concentrate, orange",https://i.fnri.dost.gov.ph/fct/library/report/4399,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001172,"Fruit-flvr drnk conc, strawberry","Fruit-flavor drink concentrate, strawberry",https://i.fnri.dost.gov.ph/fct/library/report/4400,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001173,"Fruit-flvr drnk, pwdr, orange","Fruit-flavor drink, powder, orange",https://i.fnri.dost.gov.ph/fct/library/report/4401,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001174,"Juice, pineapple & grapefruit, cnd","Juice, pineapple & grapefruit, canned",https://i.fnri.dost.gov.ph/fct/library/report/4406,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001176,"Soy drink, pwdr, plain","Soy drink, powder, plain",https://i.fnri.dost.gov.ph/fct/library/report/4414,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001177,"Soy drnk, pwdr, corn flvr","Soy drink, powder, corn flavor",https://i.fnri.dost.gov.ph/fct/library/report/4415,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001178,"Soy drnk, pwdr, pandan flvr","Soy drink, powder, pandan flavor",https://i.fnri.dost.gov.ph/fct/library/report/4416,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001179,"Soybean milk drink, choc-flvr","Soybean milk drink, chocolate-flavor",https://i.fnri.dost.gov.ph/fct/library/report/4417,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001180,"Tea lvs, dried","Tea leaves, dried",https://i.fnri.dost.gov.ph/fct/library/report/4419,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
FC001181,Young coconut (shredded) drnk,Young coconut (shredded) drink,https://i.fnri.dost.gov.ph/fct/library/report/4420,REVIEWED_DISPLAY_LABEL,"Expand source abbreviations only; preserve packaging, preparation and sweetening qualifiers."
