estimate_id,food_id,method,basis,kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,fiber_g_100g,sugar_g_100g,sodium_mg_100g,cholesterol_mg_100g,source_urls,estimated_date,model,method_version,review_status,selection_policy,assumptions,range_low_json,range_high_json,range_basis,limitations
EST_PEANUT_SUGAR_V1,FC000022,COMPARABLE_FOOD,per 100 g edible portion,,,,,,4.9,,,https://fdc.nal.usda.gov/food-details/173806/nutrients,2026-09-16,Codex (GPT-6),1.0,AI_REVIEWED_NOT_HUMAN_VERIFIED,EXPLICIT_ESTIMATE_SELECTION,Use USDA unsalted dry-roasted peanuts as a sugar proxy for FNRI roasted skinless peanuts. Roast method and skin inclusion differ; only sugar is estimated.,,,Not quantified; no evidence-based uncertainty bounds available.,"Estimate, not a laboratory or manufacturer value."
EST_CANTON_YIELD_V1,FC000147,COOKED_YIELD_CALCULATION,per 100 g edible portion,194.80,5.12,22.72,9.28,1.44,2.20,270.40,0.00,https://i.fnri.dost.gov.ph/fct/library/report/3102,2026-09-16,Codex (GPT-6),1.0,AI_REVIEWED_NOT_HUMAN_VERIFIED,EXPLICIT_ESTIMATE_SELECTION,"100 g FNRI A140 dry wheat canton plus retained cooking water produces 250 g edible cooked noodles. No oil or sauce. Assume 100% nutrient retention. Yield and retention are assumptions, not measured values.",,,Not quantified; no evidence-based uncertainty bounds available.,"Estimate, not a laboratory or manufacturer value. Draining can remove soluble nutrients; actual water uptake varies. Do not use for stir-fried canton or noodles with seasonings."
EST_PH_DISH_001_V1,FC001260,INGREDIENT_MIXTURE_CALCULATION,per 100 g modeled edible mixture,118.71,19.13,1.40,4.06,0.09,0.04,149.66,,https://i.fnri.dost.gov.ph/fct/library/report/3818;https://i.fnri.dost.gov.ph/fct/library/report/4346;https://i.fnri.dost.gov.ph/fct/library/report/4350;https://i.fnri.dost.gov.ph/fct/library/report/3363;https://i.fnri.dost.gov.ph/fct/library/report/4268;https://fdc.nal.usda.gov/food-details/173647/nutrients,2026-09-17,Codex (GPT-6),1.0,AI_REVIEWED_NOT_HUMAN_VERIFIED,EXPLICIT_ESTIMATE_SELECTION,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients. Modeled final mass: 700 g.",,,Not quantified; no evidence-based uncertainty bounds available.,"Recipe proportions, cooking proxies, retention and yield are assumptions, not measurements. Use only as an explicitly selected estimate for this variant. Actual recipes and portions vary. No standard cup, bowl, plate or piece weight is asserted; weigh the edible finished food. Canned source dishes are not substituted for homemade dishes."
EST_PH_DISH_002_V1,FC001261,INGREDIENT_MIXTURE_CALCULATION,per 100 g modeled edible mixture,272.51,8.10,1.46,26.05,0.09,0.04,161.02,28.66,https://i.fnri.dost.gov.ph/fct/library/report/3858;https://i.fnri.dost.gov.ph/fct/library/report/4346;https://i.fnri.dost.gov.ph/fct/library/report/4350;https://i.fnri.dost.gov.ph/fct/library/report/3363;https://fdc.nal.usda.gov/food-details/173647/nutrients,2026-09-17,Codex (GPT-6),1.0,AI_REVIEWED_NOT_HUMAN_VERIFIED,EXPLICIT_ESTIMATE_SELECTION,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients. Modeled final mass: 670 g.",,,Not quantified; no evidence-based uncertainty bounds available.,"Recipe proportions, cooking proxies, retention and yield are assumptions, not measurements. Use only as an explicitly selected estimate for this variant. Actual recipes and portions vary. No standard cup, bowl, plate or piece weight is asserted; weigh the edible finished food. Canned source dishes are not substituted for homemade dishes."
EST_PH_DISH_003_V1,FC001262,INGREDIENT_MIXTURE_CALCULATION,per 100 g modeled edible mixture,145.15,9.51,1.44,11.24,0.09,0.04,133.95,,https://i.fnri.dost.gov.ph/fct/library/report/3865;https://i.fnri.dost.gov.ph/fct/library/report/4346;https://i.fnri.dost.gov.ph/fct/library/report/4350;https://i.fnri.dost.gov.ph/fct/library/report/3363;https://i.fnri.dost.gov.ph/fct/library/report/4268;https://fdc.nal.usda.gov/food-details/173647/nutrients,2026-09-17,Codex (GPT-6),1.0,AI_REVIEWED_NOT_HUMAN_VERIFIED,EXPLICIT_ESTIMATE_SELECTION,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients. Modeled final mass: 680 g.",,,Not quantified; no evidence-based uncertainty bounds available.,"Recipe proportions, cooking proxies, retention and yield are assumptions, not measurements. Use only as an explicitly selected estimate for this variant. Actual recipes and portions vary. No standard cup, bowl, plate or piece weight is asserted; weigh the edible finished food. Canned source dishes are not substituted for homemade dishes."
EST_PH_DISH_004_V1,FC001263,INGREDIENT_MIXTURE_CALCULATION,per 100 g modeled edible mixture,193.16,14.16,1.43,14.54,0.09,0.04,150.86,,https://i.fnri.dost.gov.ph/fct/library/report/3818;https://i.fnri.dost.gov.ph/fct/library/report/3858;https://i.fnri.dost.gov.ph/fct/library/report/4346;https://i.fnri.dost.gov.ph/fct/library/report/4350;https://i.fnri.dost.gov.ph/fct/library/report/3363;https://fdc.nal.usda.gov/food-details/173647/nutrients,2026-09-17,Codex (GPT-6),1.0,AI_REVIEWED_NOT_HUMAN_VERIFIED,EXPLICIT_ESTIMATE_SELECTION,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients. Modeled final mass: 830 g.",,,Not quantified; no evidence-based uncertainty bounds available.,"Recipe proportions, cooking proxies, retention and yield are assumptions, not measurements. Use only as an explicitly selected estimate for this variant. Actual recipes and portions vary. No standard cup, bowl, plate or piece weight is asserted; weigh the edible finished food. Canned source dishes are not substituted for homemade dishes."
EST_PH_DISH_005_V1,FC001264,INGREDIENT_MIXTURE_CALCULATION,per 100 g modeled edible mixture,72.57,9.62,2.57,2.66,0.21,0.87,91.25,,https://i.fnri.dost.gov.ph/fct/library/report/4112;https://i.fnri.dost.gov.ph/fct/library/report/4346;https://i.fnri.dost.gov.ph/fct/library/report/4350;https://i.fnri.dost.gov.ph/fct/library/report/3363;https://i.fnri.dost.gov.ph/fct/library/report/3421;https://i.fnri.dost.gov.ph/fct/library/report/3537;https://i.fnri.dost.gov.ph/fct/library/report/4268;https://fdc.nal.usda.gov/food-details/173647/nutrients,2026-09-17,Codex (GPT-6),1.0,AI_REVIEWED_NOT_HUMAN_VERIFIED,EXPLICIT_ESTIMATE_SELECTION,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients. Modeled final mass: 755 g.",,,Not quantified; no evidence-based uncertainty bounds available.,"Recipe proportions, cooking proxies, retention and yield are assumptions, not measurements. Use only as an explicitly selected estimate for this variant. Actual recipes and portions vary. No standard cup, bowl, plate or piece weight is asserted; weigh the edible finished food. Canned source dishes are not substituted for homemade dishes."
EST_PH_DISH_006_V1,FC001265,INGREDIENT_MIXTURE_CALCULATION,per 100 g modeled edible mixture,50.33,1.39,5.12,2.73,1.88,0.67,134.76,0.00,https://i.fnri.dost.gov.ph/fct/library/report/3522;https://i.fnri.dost.gov.ph/fct/library/report/4346;https://i.fnri.dost.gov.ph/fct/library/report/4350;https://i.fnri.dost.gov.ph/fct/library/report/3363;https://i.fnri.dost.gov.ph/fct/library/report/3421;https://i.fnri.dost.gov.ph/fct/library/report/4268;https://fdc.nal.usda.gov/food-details/173647/nutrients,2026-09-17,Codex (GPT-6),1.0,AI_REVIEWED_NOT_HUMAN_VERIFIED,EXPLICIT_ESTIMATE_SELECTION,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients. Modeled final mass: 615 g.",,,Not quantified; no evidence-based uncertainty bounds available.,"Recipe proportions, cooking proxies, retention and yield are assumptions, not measurements. Use only as an explicitly selected estimate for this variant. Actual recipes and portions vary. No standard cup, bowl, plate or piece weight is asserted; weigh the edible finished food. Canned source dishes are not substituted for homemade dishes."
EST_PH_DISH_007_V1,FC001266,INGREDIENT_MIXTURE_CALCULATION,per 100 g modeled edible mixture,98.53,5.84,5.03,6.11,1.30,,88.84,,https://i.fnri.dost.gov.ph/fct/library/report/3512;https://i.fnri.dost.gov.ph/fct/library/report/3865;https://i.fnri.dost.gov.ph/fct/library/report/4346;https://i.fnri.dost.gov.ph/fct/library/report/4350;https://i.fnri.dost.gov.ph/fct/library/report/3363;https://i.fnri.dost.gov.ph/fct/library/report/3421;https://i.fnri.dost.gov.ph/fct/library/report/4268;https://fdc.nal.usda.gov/food-details/173647/nutrients,2026-09-17,Codex (GPT-6),1.0,AI_REVIEWED_NOT_HUMAN_VERIFIED,EXPLICIT_ESTIMATE_SELECTION,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients. Modeled final mass: 820 g.",,,Not quantified; no evidence-based uncertainty bounds available.,"Recipe proportions, cooking proxies, retention and yield are assumptions, not measurements. Use only as an explicitly selected estimate for this variant. Actual recipes and portions vary. No standard cup, bowl, plate or piece weight is asserted; weigh the edible finished food. Canned source dishes are not substituted for homemade dishes."
EST_PH_DISH_008_V1,FC001267,INGREDIENT_MIXTURE_CALCULATION,per 100 g modeled edible mixture,48.58,7.02,1.58,1.58,0.20,,78.10,,https://i.fnri.dost.gov.ph/fct/library/report/3818;https://i.fnri.dost.gov.ph/fct/library/report/3330;https://i.fnri.dost.gov.ph/fct/library/report/3374;https://i.fnri.dost.gov.ph/fct/library/report/5005;https://i.fnri.dost.gov.ph/fct/library/report/3421;https://i.fnri.dost.gov.ph/fct/library/report/3363;https://i.fnri.dost.gov.ph/fct/library/report/4334;https://i.fnri.dost.gov.ph/fct/library/report/4268;https://fdc.nal.usda.gov/food-details/173647/nutrients,2026-09-17,Codex (GPT-6),1.0,AI_REVIEWED_NOT_HUMAN_VERIFIED,EXPLICIT_ESTIMATE_SELECTION,"Model-designed reference mixture, not an FNRI dish analysis or a published standardized recipe. Ingredient grams refer to edible components in each linked source preparation, mostly already cooked. Final mass is the sum of component masses including retained water; no further evaporation, draining or nutrient loss is modeled. All added oil, salt and sauce are retained. Raw garlic, ginger and chili are cooking proxies; boiled whole egg plus separately listed oil approximates cooked egg in omelettes/silog. Tamarind entry approximates retained souring ingredient, not measured strained extract. No bones, shells or uneaten broth are included. Missing ingredient nutrients propagate to unknown dish nutrients. Modeled final mass: 1735 g.",,,Not quantified; no evidence-based uncertainty bounds available.,"Recipe proportions, cooking proxies, retention and yield are assumptions, not measurements. Use only as an explicitly selected estimate for this variant. Actual recipes and portions vary. No standard cup, bowl, plate or piece weight is asserted; weigh the edible finished food. Canned source dishes are not substituted for homemade dishes."
