parent_food_id,variant_food_id,selection_label,relationship,notes
FC000029,FC000101,"Chicken, whole",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000039,FC000102,"Pork Boston butt, lean",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000043,FC000103,"Sausage, chicken",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000043,FC000104,"Sausage, pork",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000043,FC000105,"Sausage, pork & beef",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000054,FC000106,"Sardine, Indian",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000054,FC000107,"Sardines, in spiced oil, cnd",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000054,FC000108,"Sardines, in tomato sce, cnd",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000057,FC000109,"Shrimp, banana prawn",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000057,FC000110,"Shrimp, giant tiger prawn",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000057,FC000111,"Shrimp, greasy back",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000059,FC000112,"Crab, blue swimming, w/o fat",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000059,FC000113,"Crab, mud/mangrove, w/o fat",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000066,FC000114,Pechay lvs,EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000066,FC000115,Pechay petioles,EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000071,FC000116,"String/Yard long bean pod, green",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000071,FC000117,"String/Yard long bean pod, red",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000071,FC000118,"String/Yard long bean pod, white",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000072,FC000116,"String/Yard long bean pod, green",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000072,FC000117,"String/Yard long bean pod, red",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000072,FC000118,"String/Yard long bean pod, white",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000073,FC000119,Swamp cabbage lvs,EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000080,FC000120,"Mango, Manila super, ripe",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000080,FC000121,"Mango, piko, ripe",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000080,FC000122,"Mango, supsupin, ripe",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000084,FC000123,"Guava, red",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
FC000084,FC000124,"Guava, white",EXPLICIT_SELECTION_REQUIRED,"Choose the source preparation, cut, cultivar or plant part. Parent remains unresolved."
