food_id,name,field,source_value,source_url,status,next_action
FC000012,"Bread, Spanish bread",sugar_g_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/2992,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000012,"Bread, Spanish bread",sodium_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/2992,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000012,"Bread, Spanish bread",cholesterol_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/2992,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000022,"Peanut, roasted",sugar_g_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/3248,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000023,Pili nut,fiber_g_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/3251,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000023,Pili nut,sugar_g_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/3251,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000031,"Beef lean meat, boiled",cholesterol_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/3723,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000032,"Beef lean meat, fried",cholesterol_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/3725,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000038,Pork Boston butt / shoulder,cholesterol_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/3860,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000048,"Milkfish, dried",cholesterol_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/4160,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000049,Tilapia,cholesterol_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/4125,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000050,Round scad,cholesterol_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/4085,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000053,Yellowfin tuna,cholesterol_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/4127,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000055,"Anchovy, dried",sodium_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/4130,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000060,Mussels,cholesterol_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/4065,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000097,Coconut milk,sugar_g_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/4262,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000100,Fish sauce,sugar_g_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/4334,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000102,"Pork Boston butt, lean",cholesterol_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/3864,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000104,"Sausage, pork",sugar_g_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/3964,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000112,"Crab, blue swimming, w/o fat",cholesterol_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/4017,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
FC000113,"Crab, mud/mangrove, w/o fat",cholesterol_mg_100g,-,https://i.fnri.dost.gov.ph/fct/library/report/4020,SOURCE_MISSING,Keep blank; no exact source value in retained FNRI snapshot.
