estimate_id,ingredient_food_id,ingredient_name,edible_grams,kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,fiber_g_100g,sugar_g_100g,sodium_mg_100g,cholesterol_mg_100g,nutrient_provenance_json
EST_PANTRY_20260918_001_V1,FC000645,"Coffee, creamer & sugar (3 in 1)",100,392.0,3.6,92.5,0.8,0.0,46.5,65.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 92.5, ""value_per_100g"": 92.5}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 0.8, ""value_per_100g"": 0.8}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 392.0, ""value_per_100g"": 392.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 3.6, ""value_per_100g"": 3.6}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 65.0, ""value_per_100g"": 65.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 46.5, ""value_per_100g"": 46.5}}"
EST_PANTRY_20260918_002_V1,FC000645,"Coffee, creamer & sugar (3 in 1)",100,392.0,3.6,92.5,0.8,0.0,46.5,65.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 92.5, ""value_per_100g"": 92.5}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 0.8, ""value_per_100g"": 0.8}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 392.0, ""value_per_100g"": 392.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 3.6, ""value_per_100g"": 3.6}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 65.0, ""value_per_100g"": 65.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 46.5, ""value_per_100g"": 46.5}}"
EST_PANTRY_20260918_003_V1,FC000645,"Coffee, creamer & sugar (3 in 1)",100,392.0,3.6,92.5,0.8,0.0,46.5,65.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 92.5, ""value_per_100g"": 92.5}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 0.8, ""value_per_100g"": 0.8}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 392.0, ""value_per_100g"": 392.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 3.6, ""value_per_100g"": 3.6}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 65.0, ""value_per_100g"": 65.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""Q011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4370"", ""value_for_portion"": 46.5, ""value_per_100g"": 46.5}}"
EST_PANTRY_20260918_004_V1,FC000691,"Noodles, wheat, inst, w/ flvr",100,433.0,10.4,57.1,18.1,2.9,2.0,1956.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 57.1, ""value_per_100g"": 57.1}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 18.1, ""value_per_100g"": 18.1}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 2.9, ""value_per_100g"": 2.9}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 433.0, ""value_per_100g"": 433.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 10.4, ""value_per_100g"": 10.4}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 1956.0, ""value_per_100g"": 1956.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 2.0, ""value_per_100g"": 2.0}}"
EST_PANTRY_20260918_005_V1,FC000691,"Noodles, wheat, inst, w/ flvr",100,433.0,10.4,57.1,18.1,2.9,2.0,1956.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 57.1, ""value_per_100g"": 57.1}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 18.1, ""value_per_100g"": 18.1}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 2.9, ""value_per_100g"": 2.9}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 433.0, ""value_per_100g"": 433.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 10.4, ""value_per_100g"": 10.4}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 1956.0, ""value_per_100g"": 1956.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 2.0, ""value_per_100g"": 2.0}}"
EST_PANTRY_20260918_005_V1,FC001237,"Beverages, water, tap, drinking",150,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"{""carbs_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""cholesterol_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fiber_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""protein_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""sodium_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 4.0, ""value_per_100g"": 4.0}, ""sugar_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
EST_PANTRY_20260918_006_V1,FC000691,"Noodles, wheat, inst, w/ flvr",100,433.0,10.4,57.1,18.1,2.9,2.0,1956.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 57.1, ""value_per_100g"": 57.1}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 18.1, ""value_per_100g"": 18.1}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 2.9, ""value_per_100g"": 2.9}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 433.0, ""value_per_100g"": 433.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 10.4, ""value_per_100g"": 10.4}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 1956.0, ""value_per_100g"": 1956.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 2.0, ""value_per_100g"": 2.0}}"
EST_PANTRY_20260918_007_V1,FC000691,"Noodles, wheat, inst, w/ flvr",100,433.0,10.4,57.1,18.1,2.9,2.0,1956.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 57.1, ""value_per_100g"": 57.1}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 18.1, ""value_per_100g"": 18.1}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 2.9, ""value_per_100g"": 2.9}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 433.0, ""value_per_100g"": 433.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 10.4, ""value_per_100g"": 10.4}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 1956.0, ""value_per_100g"": 1956.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3104"", ""value_for_portion"": 2.0, ""value_per_100g"": 2.0}}"
EST_PANTRY_20260918_007_V1,FC001237,"Beverages, water, tap, drinking",150,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"{""carbs_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""cholesterol_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fiber_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""protein_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""sodium_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 4.0, ""value_per_100g"": 4.0}, ""sugar_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
EST_PANTRY_20260918_008_V1,FC000685,"Cracker, salted",100,480.0,9.6,65.5,19.9,2.9,1.3,961.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A114"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3076"", ""value_for_portion"": 65.5, ""value_per_100g"": 65.5}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A114"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3076"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A114"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3076"", ""value_for_portion"": 19.9, ""value_per_100g"": 19.9}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A114"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3076"", ""value_for_portion"": 2.9, ""value_per_100g"": 2.9}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A114"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3076"", ""value_for_portion"": 480.0, ""value_per_100g"": 480.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A114"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3076"", ""value_for_portion"": 9.6, ""value_per_100g"": 9.6}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A114"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3076"", ""value_for_portion"": 961.0, ""value_per_100g"": 961.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""A114"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3076"", ""value_for_portion"": 1.3, ""value_per_100g"": 1.3}}"
