group,url,accessed_date,role,access
Monde Nissin,https://mondenissin.com/our-brands/,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Lucky Me Original,https://verification.fda.gov.ph/FoodProduct_Lowriskview.php?ACCOUNTCODE=FR-4000013266042&export=pdf,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Lucky Me Chilimansi,https://verification.fda.gov.ph/All_FoodProductsview.php?ACCOUNTCODE=FR-4000008765235&export=pdf,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Nescafe,https://www.nescafe.com/ph/coffees/formats/instant-coffee,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Oishi,https://www.oishi.com.ph/products/oishi-prawn-crackers/,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
URC,https://www.urc.com.ph/stories/life-fun/experience-the-joy-of-snacking-anytime-anywhere-with-urc-grab-n-go-trucks,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Century Pacific,https://www.centurypacific.com.ph/brands/,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Maling,https://verification.fda.gov.ph/FoodProduct_Highriskview.php?ACCOUNTCODE=FR-4000008566085&export=pdf,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
NutriAsia,https://online.flippingbook.com/view/252312515/,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Energy drinks,https://www.7-eleven.com.ph/promos/participating-items-for-run-2026/,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Goldilocks,https://www.goldilocks.com.ph/mobile/products/bakeshop/snacks-pasalubong,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Starbucks,https://www.starbucks.ph/menu,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
PICKUP COFFEE,https://pickup-coffee.com/menu/,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Coca-Cola,https://www.coca-cola.com/ph/en/brands/coca-cola,2026-09-18,Published per-mL nutrition label; density assumed for gram estimates,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Sprite,https://www.coca-cola.com/ph/en/brands/sprite,2026-09-18,Published per-mL nutrition label; density assumed for gram estimates,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Royal,https://www.coca-cola.com/ph/en/brands/royal,2026-09-18,Published per-mL nutrition label; density assumed for gram estimates,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
Athlene,https://athlene.com.ph/products/active-whey-protein,2026-09-18,Identity/category only; model quantities not published recipe,Search/open reviewed; Goldilocks search listing used after direct fetch denied.
