estimate_id,ingredient_food_id,edible_grams,input_type,nutrients_per_100g_json,source_url,notes
EST_PERSONAL_001_V1,,29.84,PUBLISHED_LABEL_SERVING_WITH_INFERRED_GRAM_UNIT,,https://athlene.com.ph/cdn/shop/products/Pure_Isolate_nutrition_facts_1.png?v=1580265813&width=1946,"Manufacturer panel checked visually. It prints serving size 29.84 without a unit; grams inferred from dry powder and 1 lb pack / printed servings. Fiber is unlisted, not zero. Match your actual pack; flavor-specific numbers are not interchangeable."
EST_PERSONAL_002_V1,,29.08,PUBLISHED_LABEL_SERVING_WITH_INFERRED_GRAM_UNIT,,https://athlene.com.ph/cdn/shop/products/6_fb90b81d-d365-463a-b114-c288c2e6d216.png?v=1603087577&width=1946,"Manufacturer panel checked visually. It prints serving size 29.08 without a unit; grams inferred from dry powder and 1 lb pack / printed servings. Fiber is unlisted, not zero. Match your actual pack; flavor-specific numbers are not interchangeable."
EST_PERSONAL_003_V1,FC001352,100,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 0.0, ""cholesterol_mg_100g"": 98.0, ""fat_g_100g"": 21.06, ""fiber_g_100g"": 0.0, ""kcal_100g"": 313.0, ""protein_g_100g"": 28.77, ""sodium_mg_100g"": 71.0, ""sugar_g_100g"": 0.0}",https://fdc.nal.usda.gov/food-details/169550/nutrients,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_003_V1,FC000096,5,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 0.0, ""cholesterol_mg_100g"": 227.0, ""fat_g_100g"": 85.5, ""fiber_g_100g"": 0.0, ""kcal_100g"": 772.0, ""protein_g_100g"": 0.5, ""sodium_mg_100g"": 550.0, ""sugar_g_100g"": 0.0}",https://i.fnri.dost.gov.ph/fct/library/report/4261,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_004_V1,FC001049,100,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 0.0, ""cholesterol_mg_100g"": 63.0, ""fat_g_100g"": 12.35, ""fiber_g_100g"": 0.0, ""kcal_100g"": 206.0, ""protein_g_100g"": 22.1, ""sodium_mg_100g"": 61.0, ""sugar_g_100g"": 0.0}",https://fdc.nal.usda.gov/food-details/175168/nutrients,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_004_V1,FC000642,5,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 0.0, ""cholesterol_mg_100g"": 0.0, ""fat_g_100g"": 99.6, ""fiber_g_100g"": 0.0, ""kcal_100g"": 896.0, ""protein_g_100g"": 0.0, ""sodium_mg_100g"": 0.0, ""sugar_g_100g"": 0.0}",https://i.fnri.dost.gov.ph/fct/library/report/4269,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_005_V1,FC001790,113,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": ""0.0000"", ""cholesterol_mg_100g"": ""30.9735"", ""fat_g_100g"": ""0.4425"", ""fiber_g_100g"": ""0.0000"", ""kcal_100g"": ""106.1947"", ""protein_g_100g"": ""25.6637"", ""sodium_mg_100g"": ""39.8230"", ""sugar_g_100g"": ""0.0000""}",https://www.hawaii-seafood.org/wp-content/uploads/2023/01/6-Hawaii-Blue-Marlin-Nutrient-Label-Claims.pdf,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_005_V1,FC000642,5,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 0.0, ""cholesterol_mg_100g"": 0.0, ""fat_g_100g"": 99.6, ""fiber_g_100g"": 0.0, ""kcal_100g"": 896.0, ""protein_g_100g"": 0.0, ""sodium_mg_100g"": 0.0, ""sugar_g_100g"": 0.0}",https://i.fnri.dost.gov.ph/fct/library/report/4269,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_006_V1,FC000383,100,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 0.0, ""cholesterol_mg_100g"": 74.0, ""fat_g_100g"": 7.2, ""fiber_g_100g"": 0.1, ""kcal_100g"": 226.0, ""protein_g_100g"": 40.3, ""sodium_mg_100g"": 104.0, ""sugar_g_100g"": 0.0}",https://i.fnri.dost.gov.ph/fct/library/report/3819,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_006_V1,FC000099,5,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 15.0, ""cholesterol_mg_100g"": 0.0, ""fat_g_100g"": 0.1, ""fiber_g_100g"": 1.0, ""kcal_100g"": 75.0, ""protein_g_100g"": 3.5, ""sodium_mg_100g"": 2041.0, ""sugar_g_100g"": 0.5}",https://i.fnri.dost.gov.ph/fct/library/report/4346,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_006_V1,FC000085,10,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 8.3, ""cholesterol_mg_100g"": 0.0, ""fat_g_100g"": 1.0, ""fiber_g_100g"": 2.4, ""kcal_100g"": 44.0, ""protein_g_100g"": 0.4, ""sodium_mg_100g"": 3.0, ""sugar_g_100g"": 1.5}",https://i.fnri.dost.gov.ph/fct/library/report/3605,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_007_V1,FC001350,100,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 3.15, ""cholesterol_mg_100g"": 90.0, ""fat_g_100g"": 14.92, ""fiber_g_100g"": 0.1, ""kcal_100g"": 269.0, ""protein_g_100g"": 28.56, ""sodium_mg_100g"": 84.0, ""sugar_g_100g"": 0.0}",https://fdc.nal.usda.gov/food-details/171449/nutrients,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_007_V1,FC000099,5,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 15.0, ""cholesterol_mg_100g"": 0.0, ""fat_g_100g"": 0.1, ""fiber_g_100g"": 1.0, ""kcal_100g"": 75.0, ""protein_g_100g"": 3.5, ""sodium_mg_100g"": 2041.0, ""sugar_g_100g"": 0.5}",https://i.fnri.dost.gov.ph/fct/library/report/4346,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_007_V1,FC000085,10,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 8.3, ""cholesterol_mg_100g"": 0.0, ""fat_g_100g"": 1.0, ""fiber_g_100g"": 2.4, ""kcal_100g"": 44.0, ""protein_g_100g"": 0.4, ""sodium_mg_100g"": 3.0, ""sugar_g_100g"": 1.5}",https://i.fnri.dost.gov.ph/fct/library/report/3605,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_008_V1,FC000348,100,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 4.7, ""cholesterol_mg_100g"": 122.0, ""fat_g_100g"": 12.0, ""fiber_g_100g"": 0.0, ""kcal_100g"": 226.0, ""protein_g_100g"": 24.8, ""sodium_mg_100g"": 716.0, ""sugar_g_100g"": 1.5}",https://i.fnri.dost.gov.ph/fct/library/report/3972,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_008_V1,FC000969,5,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 98.7, ""cholesterol_mg_100g"": 0.0, ""fat_g_100g"": 0.3, ""fiber_g_100g"": 0.0, ""kcal_100g"": 398.0, ""protein_g_100g"": 0.1, ""sodium_mg_100g"": 15.0, ""sugar_g_100g"": 97.6}",https://i.fnri.dost.gov.ph/fct/library/report/4313,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_009_V1,FC000348,100,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 4.7, ""cholesterol_mg_100g"": 122.0, ""fat_g_100g"": 12.0, ""fiber_g_100g"": 0.0, ""kcal_100g"": 226.0, ""protein_g_100g"": 24.8, ""sodium_mg_100g"": 716.0, ""sugar_g_100g"": 1.5}",https://i.fnri.dost.gov.ph/fct/library/report/3972,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_010_V1,FC000348,100,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 4.7, ""cholesterol_mg_100g"": 122.0, ""fat_g_100g"": 12.0, ""fiber_g_100g"": 0.0, ""kcal_100g"": 226.0, ""protein_g_100g"": 24.8, ""sodium_mg_100g"": 716.0, ""sugar_g_100g"": 1.5}",https://i.fnri.dost.gov.ph/fct/library/report/3972,Component is in its exact source state; weight/model match is assumed.
EST_PERSONAL_011_V1,FC000349,100,ASSUMED_COMPONENT_WEIGHT,"{""carbs_g_100g"": 2.2, ""cholesterol_mg_100g"": 108.0, ""fat_g_100g"": 5.4, ""fiber_g_100g"": 0.0, ""kcal_100g"": 162.0, ""protein_g_100g"": 26.2, ""sodium_mg_100g"": 677.0, ""sugar_g_100g"": 0.7}",https://i.fnri.dost.gov.ph/fct/library/report/3973,Component is in its exact source state; weight/model match is assumed.
