estimate_id,ingredient_food_id,ingredient_name,edible_grams,weight_status,kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,fiber_g_100g,sugar_g_100g,sodium_mg_100g,cholesterol_mg_100g,nutrient_provenance_json
EST_PH_RESTAURANT_001_V1,FC001350,"Chicken, broilers or fryers, meat and skin, cooked, fried, flour",100,ASSUMED_REFERENCE_MIXTURE,269.0,28.56,3.15,14.92,0.1,0.0,84.0,90.0,"{""carbs_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 3.15, ""value_per_100g"": 3.15}, ""cholesterol_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 90.0, ""value_per_100g"": 90.0}, ""fat_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 14.92, ""value_per_100g"": 14.92}, ""fiber_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 0.1, ""value_per_100g"": 0.1}, ""kcal_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 269.0, ""value_per_100g"": 269.0}, ""protein_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 28.56, ""value_per_100g"": 28.56}, ""sodium_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 84.0, ""value_per_100g"": 84.0}, ""sugar_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
EST_PH_RESTAURANT_002_V1,FC001350,"Chicken, broilers or fryers, meat and skin, cooked, fried, flour",100,ASSUMED_REFERENCE_MIXTURE,269.0,28.56,3.15,14.92,0.1,0.0,84.0,90.0,"{""carbs_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 3.15, ""value_per_100g"": 3.15}, ""cholesterol_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 90.0, ""value_per_100g"": 90.0}, ""fat_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 14.92, ""value_per_100g"": 14.92}, ""fiber_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 0.1, ""value_per_100g"": 0.1}, ""kcal_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 269.0, ""value_per_100g"": 269.0}, ""protein_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 28.56, ""value_per_100g"": 28.56}, ""sodium_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 84.0, ""value_per_100g"": 84.0}, ""sugar_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001350_171449"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171449/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
EST_PH_RESTAURANT_002_V1,FC000299,"Pepper, chili fruit",2,ASSUMED_REFERENCE_MIXTURE,75.0,4.8,9.0,2.2,3.5,5.0,14.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D164"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3443"", ""value_for_portion"": 9.0, ""value_per_100g"": 9.0}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D164"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3443"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D164"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3443"", ""value_for_portion"": 2.2, ""value_per_100g"": 2.2}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D164"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3443"", ""value_for_portion"": 3.5, ""value_per_100g"": 3.5}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D164"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3443"", ""value_for_portion"": 75.0, ""value_per_100g"": 75.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D164"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3443"", ""value_for_portion"": 4.8, ""value_per_100g"": 4.8}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D164"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3443"", ""value_for_portion"": 14.0, ""value_per_100g"": 14.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D164"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3443"", ""value_for_portion"": 5.0, ""value_per_100g"": 5.0}}"
EST_PH_RESTAURANT_002_V1,FC000642,"Oil, corn",2,ASSUMED_REFERENCE_MIXTURE,896.0,0.0,0.0,99.6,0.0,0.0,0.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 99.6, ""value_per_100g"": 99.6}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 896.0, ""value_per_100g"": 896.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
EST_PH_RESTAURANT_003_V1,FC001995,"Rolls, hamburger or hotdog, plain",50,ASSUMED_REFERENCE_MIXTURE,279.0,9.77,50.12,3.91,1.8,7.28,494.0,0.0,"{""carbs_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 50.12, ""value_per_100g"": 50.12}, ""cholesterol_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 3.91, ""value_per_100g"": 3.91}, ""fiber_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 1.8, ""value_per_100g"": 1.8}, ""kcal_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 279.0, ""value_per_100g"": 279.0}, ""protein_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 9.77, ""value_per_100g"": 9.77}, ""sodium_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 494.0, ""value_per_100g"": 494.0}, ""sugar_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 7.28, ""value_per_100g"": 7.28}}"
EST_PH_RESTAURANT_003_V1,FC000137,"Beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",45,ASSUMED_REFERENCE_MIXTURE,272.0,27.0,0.0,17.36,0.0,0.0,91.0,89.0,"{""carbs_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""cholesterol_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 89.0, ""value_per_100g"": 89.0}, ""fat_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 17.36, ""value_per_100g"": 17.36}, ""fiber_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 272.0, ""value_per_100g"": 272.0}, ""protein_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 27.0, ""value_per_100g"": 27.0}, ""sodium_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 91.0, ""value_per_100g"": 91.0}, ""sugar_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
EST_PH_RESTAURANT_003_V1,FC000641,Mayonnaise,12,ASSUMED_REFERENCE_MIXTURE,715.0,1.2,1.4,78.3,0.0,0.6,506.0,44.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 1.4, ""value_per_100g"": 1.4}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 44.0, ""value_per_100g"": 44.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 78.3, ""value_per_100g"": 78.3}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 715.0, ""value_per_100g"": 715.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 1.2, ""value_per_100g"": 1.2}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 506.0, ""value_per_100g"": 506.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 0.6, ""value_per_100g"": 0.6}}"
EST_PH_RESTAURANT_004_V1,FC001995,"Rolls, hamburger or hotdog, plain",50,ASSUMED_REFERENCE_MIXTURE,279.0,9.77,50.12,3.91,1.8,7.28,494.0,0.0,"{""carbs_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 50.12, ""value_per_100g"": 50.12}, ""cholesterol_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 3.91, ""value_per_100g"": 3.91}, ""fiber_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 1.8, ""value_per_100g"": 1.8}, ""kcal_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 279.0, ""value_per_100g"": 279.0}, ""protein_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 9.77, ""value_per_100g"": 9.77}, ""sodium_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 494.0, ""value_per_100g"": 494.0}, ""sugar_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001995_172796"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/172796/nutrients"", ""value_for_portion"": 7.28, ""value_per_100g"": 7.28}}"
EST_PH_RESTAURANT_004_V1,FC000137,"Beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",45,ASSUMED_REFERENCE_MIXTURE,272.0,27.0,0.0,17.36,0.0,0.0,91.0,89.0,"{""carbs_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""cholesterol_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 89.0, ""value_per_100g"": 89.0}, ""fat_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 17.36, ""value_per_100g"": 17.36}, ""fiber_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 272.0, ""value_per_100g"": 272.0}, ""protein_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 27.0, ""value_per_100g"": 27.0}, ""sodium_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 91.0, ""value_per_100g"": 91.0}, ""sugar_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC000137_171799"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/171799/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
EST_PH_RESTAURANT_004_V1,FC000641,Mayonnaise,12,ASSUMED_REFERENCE_MIXTURE,715.0,1.2,1.4,78.3,0.0,0.6,506.0,44.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 1.4, ""value_per_100g"": 1.4}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 44.0, ""value_per_100g"": 44.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 78.3, ""value_per_100g"": 78.3}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 715.0, ""value_per_100g"": 715.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 1.2, ""value_per_100g"": 1.2}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 506.0, ""value_per_100g"": 506.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K007"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4267"", ""value_for_portion"": 0.6, ""value_per_100g"": 0.6}}"
