food_id,estimate_id,brand,name,menu_item,menu_source_url,menu_source_role,nutrition_status,confidence,modeled_mass_g,notes
FC002210,EST_PH_RESTAURANT_001_V1,Jollibee,"Jollibee Philippines Chickenjoy, original, edible chicken only (estimate)","Chickenjoy, original, edible chicken only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,"Generic flour-fried chicken proxy; bones, gravy and rice excluded."
FC002211,EST_PH_RESTAURANT_002_V1,Jollibee,"Jollibee Philippines Chickenjoy, spicy, edible chicken only (estimate)","Chickenjoy, spicy, edible chicken only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,104,Assumed chili/oil coating; proprietary breading unknown.
FC002212,EST_PH_RESTAURANT_003_V1,Jollibee,"Jollibee Philippines Yumburger, sandwich only (estimate)","Yumburger, sandwich only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,107,Generic cooked beef and bun proportions; no measured brand patty or sandwich weight.
FC002213,EST_PH_RESTAURANT_004_V1,Jollibee,"Jollibee Philippines Cheesy Yumburger, sandwich only (estimate)","Cheesy Yumburger, sandwich only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,122,Generic cooked beef and bun proportions; no measured brand patty or sandwich weight.
FC002214,EST_PH_RESTAURANT_005_V1,Jollibee,"Jollibee Philippines Double Cheesy Yumburger, sandwich only (estimate)","Double Cheesy Yumburger, sandwich only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,182,Generic cooked beef and bun proportions; no measured brand patty or sandwich weight.
FC002215,EST_PH_RESTAURANT_006_V1,Jollibee,"Jollibee Philippines Bacon Cheesy Yumburger, sandwich only (estimate)","Bacon Cheesy Yumburger, sandwich only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,137,Generic cooked beef and bun proportions; no measured brand patty or sandwich weight.
FC002216,EST_PH_RESTAURANT_007_V1,Jollibee,"Jollibee Philippines Champ, sandwich only (estimate)","Champ, sandwich only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,222,Generic cooked beef and bun proportions; no measured brand patty or sandwich weight.
FC002217,EST_PH_RESTAURANT_008_V1,Jollibee,"Jollibee Philippines Champ Jr., sandwich only (estimate)","Champ Jr., sandwich only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,160,Generic cooked beef and bun proportions; no measured brand patty or sandwich weight.
FC002218,EST_PH_RESTAURANT_009_V1,Jollibee,"Jollibee Philippines Amazing Aloha Champ Jr., sandwich only (estimate)","Amazing Aloha Champ Jr., sandwich only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,182,Generic cooked beef and bun proportions; no measured brand patty or sandwich weight.
FC002219,EST_PH_RESTAURANT_010_V1,Jollibee,"Jollibee Philippines Jolly Spaghetti, pasta and sauce only (estimate)","Jolly Spaghetti, pasta and sauce only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,305,"Assumed sweet tomato, hotdog and beef sauce."
FC002220,EST_PH_RESTAURANT_011_V1,Jollibee,"Jollibee Philippines Palabok, noodles and toppings only (estimate)","Palabok, noodles and toppings only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,308,Simplified shrimp/pork/egg sauce proxy; not a published restaurant recipe.
FC002221,EST_PH_RESTAURANT_012_V1,Jollibee,"Jollibee Philippines Burger Steak, patty and gravy only (estimate)","Burger Steak, patty and gravy only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,130,Crumbled cooked beef proxies patty; rice excluded.
FC002222,EST_PH_RESTAURANT_013_V1,Jollibee,"Jollibee Philippines Pepper Cream Chicken Fillet, fillet and sauce only (estimate)","Pepper Cream Chicken Fillet, fillet and sauce only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,150.5,Generic fried white meat and assumed cream sauce; rice excluded.
FC002223,EST_PH_RESTAURANT_014_V1,Jollibee,"Jollibee Philippines Crunchy Chicken Sandwich, sandwich only (estimate)","Crunchy Chicken Sandwich, sandwich only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,153,
FC002224,EST_PH_RESTAURANT_015_V1,Jollibee,"Jollibee Philippines Cheesy Classic Jolly Hotdog, sandwich only (estimate)","Cheesy Classic Jolly Hotdog, sandwich only",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,145,
FC002225,EST_PH_RESTAURANT_016_V1,Jollibee,Jollibee Philippines Peach Mango Pie (estimate),Peach Mango Pie,https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,103,"Peach baked pie plus mango and oil is a coarse fried-pie proxy, not actual crust or filling."
FC002226,EST_PH_RESTAURANT_017_V1,Jollibee,"Jollibee Philippines Chicken Nuggets, no dipping sauce (estimate)","Chicken Nuggets, no dipping sauce",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,
FC002227,EST_PH_RESTAURANT_018_V1,Jollibee,"Jollibee Philippines Jolly Crispy Fries, no dipping sauce (estimate)","Jolly Crispy Fries, no dipping sauce",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,100,
FC002228,EST_PH_RESTAURANT_019_V1,Jollibee,Jollibee Philippines Mashed Potato with gravy (estimate),Mashed Potato with gravy,https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,145,
FC002229,EST_PH_RESTAURANT_020_V1,Jollibee,Jollibee Philippines Chicken Macaroni Soup (estimate),Chicken Macaroni Soup,https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,281,
FC002230,EST_PH_RESTAURANT_021_V1,Jollibee,Jollibee Philippines Chocolate Sundae (estimate),Chocolate Sundae,https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,120,
FC002231,EST_PH_RESTAURANT_022_V1,Jollibee,Jollibee Philippines Cookies and Cream Sundae (estimate),Cookies and Cream Sundae,https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,120,
FC002232,EST_PH_RESTAURANT_023_V1,Jollibee,"Jollibee Philippines Iced Latte, modeled milk-coffee mixture (estimate)","Iced Latte, modeled milk-coffee mixture",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,300,Includes assumed melted ice; sweetener excluded. Weigh liquid; no ml density assumed.
FC002233,EST_PH_RESTAURANT_024_V1,Jollibee,"Jollibee Philippines Iced Mocha, modeled milk-coffee mixture (estimate)","Iced Mocha, modeled milk-coffee mixture",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,305,Includes assumed melted ice; no density assumed.
FC002234,EST_PH_RESTAURANT_025_V1,Jollibee,"Jollibee Philippines Iced Caramel, modeled milk-coffee mixture (estimate)","Iced Caramel, modeled milk-coffee mixture",https://order.jollibee.com/en/ph/menu,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,305,Includes assumed melted ice; no density assumed.
FC002235,EST_PH_RESTAURANT_026_V1,McDonald's,"McDonald's Philippines Hamburger, sandwich only (estimate)","Hamburger, sandwich only",https://www.mcdonalds.com.ph/our-food,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,110,Reference proportions only; actual patty/bun weights unknown.
FC002236,EST_PH_RESTAURANT_027_V1,McDonald's,"McDonald's Philippines Cheeseburger, sandwich only (estimate)","Cheeseburger, sandwich only",https://www.mcdonalds.com.ph/our-food,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,125,Reference proportions only; actual patty/bun weights unknown.
FC002237,EST_PH_RESTAURANT_028_V1,McDonald's,"McDonald's Philippines Big Mac, sandwich only (estimate)","Big Mac, sandwich only",https://www.mcdonalds.com.ph/our-food,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,233,Reference proportions only; actual patty/bun weights unknown.
FC002238,EST_PH_RESTAURANT_029_V1,McDonald's,"McDonald's Philippines Quarter Pounder with Cheese, sandwich only (estimate)","Quarter Pounder with Cheese, sandwich only",https://www.mcdonalds.com.ph/our-food,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,195,"85 g cooked beef is an assumed proxy, not conversion of the raw brand weight claim."
FC002239,EST_PH_RESTAURANT_030_V1,McDonald's,"McDonald's Philippines Burger McDo, sandwich only (estimate)","Burger McDo, sandwich only",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,107,
FC002240,EST_PH_RESTAURANT_031_V1,McDonald's,"McDonald's Philippines Cheesy Burger McDo, sandwich only (estimate)","Cheesy Burger McDo, sandwich only",https://www.foodpanda.ph/restaurant/mulw/mcdonalds-ayala-malls-manila-bay-mulw,IDENTITY_ONLY_NOT_NUTRITION,MODEL_ASSUMPTIONS_NOT_BRAND_FACTS,Low,122,
