recipe_id,estimate_id,ingredient_food_id,ingredient_name,edible_grams,weight_status,kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,fiber_g_100g,sugar_g_100g,sodium_mg_100g,cholesterol_mg_100g,nutrient_provenance_json
PH_DISH_001,EST_PH_DISH_001_V1,FC000382,"Chicken, white meat, boiled",400,ASSUMED_REFERENCE_MIXTURE,173.0,32.9,0.0,4.6,0.0,0.0,81.0,,"{""kcal_100g"":{""value_per_100g"":173.0,""value_for_portion"":173.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3818"",""source_record_id"":""F111"",""source_name"":""DOST-FNRI PhilFCT""},""protein_g_100g"":{""value_per_100g"":32.9,""value_for_portion"":32.9,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3818"",""source_record_id"":""F111"",""source_name"":""DOST-FNRI PhilFCT""},""carbs_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3818"",""source_record_id"":""F111"",""source_name"":""DOST-FNRI PhilFCT""},""fat_g_100g"":{""value_per_100g"":4.6,""value_for_portion"":4.6,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3818"",""source_record_id"":""F111"",""source_name"":""DOST-FNRI PhilFCT""},""fiber_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3818"",""source_record_id"":""F111"",""source_name"":""DOST-FNRI PhilFCT""},""sugar_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3818"",""source_record_id"":""F111"",""source_name"":""DOST-FNRI PhilFCT""},""sodium_mg_100g"":{""value_per_100g"":81.0,""value_for_portion"":81.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3818"",""source_record_id"":""F111"",""source_name"":""DOST-FNRI PhilFCT""},""cholesterol_mg_100g"":{""value_per_100g"":null,""value_for_portion"":null,""label"":""Unknown"",""source_url"":null,""source_record_id"":null,""source_name"":null}}"
PH_DISH_001,EST_PH_DISH_001_V1,FC000099,Soy sauce,35,ASSUMED_REFERENCE_MIXTURE,75.0,3.5,15.0,0.1,1.0,0.5,2041.0,0.0,"{""kcal_100g"":{""value_per_100g"":75.0,""value_for_portion"":75.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""protein_g_100g"":{""value_per_100g"":3.5,""value_for_portion"":3.5,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""carbs_g_100g"":{""value_per_100g"":15.0,""value_for_portion"":15.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""fat_g_100g"":{""value_per_100g"":0.1,""value_for_portion"":0.1,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""fiber_g_100g"":{""value_per_100g"":1.0,""value_for_portion"":1.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""sugar_g_100g"":{""value_per_100g"":0.5,""value_for_portion"":0.5,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""sodium_mg_100g"":{""value_per_100g"":2041.0,""value_for_portion"":2041.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""cholesterol_mg_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""}}"
PH_DISH_001,EST_PH_DISH_001_V1,FC000615,"Vinegar, coconut",60,ASSUMED_REFERENCE_MIXTURE,7.0,0.0,1.4,0.1,0.0,0.0,1.0,0.0,"{""kcal_100g"":{""value_per_100g"":7.0,""value_for_portion"":7.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""protein_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""carbs_g_100g"":{""value_per_100g"":1.4,""value_for_portion"":1.4,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""fat_g_100g"":{""value_per_100g"":0.1,""value_for_portion"":0.1,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""fiber_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""sugar_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""sodium_mg_100g"":{""value_per_100g"":1.0,""value_for_portion"":1.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""cholesterol_mg_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""}}"
PH_DISH_001,EST_PH_DISH_001_V1,FC000070,Garlic bulb,15,ASSUMED_REFERENCE_MIXTURE,129.0,7.0,24.6,0.3,1.7,0.8,10.0,0.0,"{""kcal_100g"":{""value_per_100g"":129.0,""value_for_portion"":129.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""protein_g_100g"":{""value_per_100g"":7.0,""value_for_portion"":7.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""carbs_g_100g"":{""value_per_100g"":24.6,""value_for_portion"":24.6,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""fat_g_100g"":{""value_per_100g"":0.3,""value_for_portion"":0.3,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""fiber_g_100g"":{""value_per_100g"":1.7,""value_for_portion"":1.7,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""sugar_g_100g"":{""value_per_100g"":0.8,""value_for_portion"":0.8,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""sodium_mg_100g"":{""value_per_100g"":10.0,""value_for_portion"":10.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""cholesterol_mg_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""}}"
PH_DISH_001,EST_PH_DISH_001_V1,FC000098,Coconut oil,10,ASSUMED_REFERENCE_MIXTURE,892.0,0.0,0.0,99.1,0.0,0.0,0.0,0.0,"{""kcal_100g"":{""value_per_100g"":892.0,""value_for_portion"":892.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4268"",""source_record_id"":""K008"",""source_name"":""DOST-FNRI PhilFCT""},""protein_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4268"",""source_record_id"":""K008"",""source_name"":""DOST-FNRI PhilFCT""},""carbs_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4268"",""source_record_id"":""K008"",""source_name"":""DOST-FNRI PhilFCT""},""fat_g_100g"":{""value_per_100g"":99.1,""value_for_portion"":99.1,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4268"",""source_record_id"":""K008"",""source_name"":""DOST-FNRI PhilFCT""},""fiber_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4268"",""source_record_id"":""K008"",""source_name"":""DOST-FNRI PhilFCT""},""sugar_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4268"",""source_record_id"":""K008"",""source_name"":""DOST-FNRI PhilFCT""},""sodium_mg_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4268"",""source_record_id"":""K008"",""source_name"":""DOST-FNRI PhilFCT""},""cholesterol_mg_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4268"",""source_record_id"":""K008"",""source_name"":""DOST-FNRI PhilFCT""}}"
PH_DISH_001,EST_PH_DISH_001_V1,FC001237,"Beverages, water, tap, drinking",180,ASSUMED_REFERENCE_MIXTURE,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"{""kcal_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Other source"",""source_url"":""https://fdc.nal.usda.gov/food-details/173647/nutrients"",""source_record_id"":""USDA_FC001237_173647"",""source_name"":""USDA FoodData Central SR Legacy""},""protein_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Other source"",""source_url"":""https://fdc.nal.usda.gov/food-details/173647/nutrients"",""source_record_id"":""USDA_FC001237_173647"",""source_name"":""USDA FoodData Central SR Legacy""},""carbs_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Other source"",""source_url"":""https://fdc.nal.usda.gov/food-details/173647/nutrients"",""source_record_id"":""USDA_FC001237_173647"",""source_name"":""USDA FoodData Central SR Legacy""},""fat_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Other source"",""source_url"":""https://fdc.nal.usda.gov/food-details/173647/nutrients"",""source_record_id"":""USDA_FC001237_173647"",""source_name"":""USDA FoodData Central SR Legacy""},""fiber_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Other source"",""source_url"":""https://fdc.nal.usda.gov/food-details/173647/nutrients"",""source_record_id"":""USDA_FC001237_173647"",""source_name"":""USDA FoodData Central SR Legacy""},""sugar_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Other source"",""source_url"":""https://fdc.nal.usda.gov/food-details/173647/nutrients"",""source_record_id"":""USDA_FC001237_173647"",""source_name"":""USDA FoodData Central SR Legacy""},""sodium_mg_100g"":{""value_per_100g"":4.0,""value_for_portion"":4.0,""label"":""Other source"",""source_url"":""https://fdc.nal.usda.gov/food-details/173647/nutrients"",""source_record_id"":""USDA_FC001237_173647"",""source_name"":""USDA FoodData Central SR Legacy""},""cholesterol_mg_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Other source"",""source_url"":""https://fdc.nal.usda.gov/food-details/173647/nutrients"",""source_record_id"":""USDA_FC001237_173647"",""source_name"":""USDA FoodData Central SR Legacy""}}"
PH_DISH_002,EST_PH_DISH_002_V1,FC000384,"Pork belly, boiled",400,ASSUMED_REFERENCE_MIXTURE,444.0,13.0,0.0,43.6,0.0,0.0,89.0,48.0,"{""kcal_100g"":{""value_per_100g"":444.0,""value_for_portion"":444.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3858"",""source_record_id"":""F151"",""source_name"":""DOST-FNRI PhilFCT""},""protein_g_100g"":{""value_per_100g"":13.0,""value_for_portion"":13.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3858"",""source_record_id"":""F151"",""source_name"":""DOST-FNRI PhilFCT""},""carbs_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3858"",""source_record_id"":""F151"",""source_name"":""DOST-FNRI PhilFCT""},""fat_g_100g"":{""value_per_100g"":43.6,""value_for_portion"":43.6,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3858"",""source_record_id"":""F151"",""source_name"":""DOST-FNRI PhilFCT""},""fiber_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3858"",""source_record_id"":""F151"",""source_name"":""DOST-FNRI PhilFCT""},""sugar_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3858"",""source_record_id"":""F151"",""source_name"":""DOST-FNRI PhilFCT""},""sodium_mg_100g"":{""value_per_100g"":89.0,""value_for_portion"":89.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3858"",""source_record_id"":""F151"",""source_name"":""DOST-FNRI PhilFCT""},""cholesterol_mg_100g"":{""value_per_100g"":48.0,""value_for_portion"":48.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3858"",""source_record_id"":""F151"",""source_name"":""DOST-FNRI PhilFCT""}}"
PH_DISH_002,EST_PH_DISH_002_V1,FC000099,Soy sauce,35,ASSUMED_REFERENCE_MIXTURE,75.0,3.5,15.0,0.1,1.0,0.5,2041.0,0.0,"{""kcal_100g"":{""value_per_100g"":75.0,""value_for_portion"":75.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""protein_g_100g"":{""value_per_100g"":3.5,""value_for_portion"":3.5,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""carbs_g_100g"":{""value_per_100g"":15.0,""value_for_portion"":15.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""fat_g_100g"":{""value_per_100g"":0.1,""value_for_portion"":0.1,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""fiber_g_100g"":{""value_per_100g"":1.0,""value_for_portion"":1.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""sugar_g_100g"":{""value_per_100g"":0.5,""value_for_portion"":0.5,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""sodium_mg_100g"":{""value_per_100g"":2041.0,""value_for_portion"":2041.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""},""cholesterol_mg_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4346"",""source_record_id"":""N023"",""source_name"":""DOST-FNRI PhilFCT""}}"
PH_DISH_002,EST_PH_DISH_002_V1,FC000615,"Vinegar, coconut",60,ASSUMED_REFERENCE_MIXTURE,7.0,0.0,1.4,0.1,0.0,0.0,1.0,0.0,"{""kcal_100g"":{""value_per_100g"":7.0,""value_for_portion"":7.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""protein_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""carbs_g_100g"":{""value_per_100g"":1.4,""value_for_portion"":1.4,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""fat_g_100g"":{""value_per_100g"":0.1,""value_for_portion"":0.1,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""fiber_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""sugar_g_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""sodium_mg_100g"":{""value_per_100g"":1.0,""value_for_portion"":1.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""},""cholesterol_mg_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/4350"",""source_record_id"":""N027"",""source_name"":""DOST-FNRI PhilFCT""}}"
PH_DISH_002,EST_PH_DISH_002_V1,FC000070,Garlic bulb,15,ASSUMED_REFERENCE_MIXTURE,129.0,7.0,24.6,0.3,1.7,0.8,10.0,0.0,"{""kcal_100g"":{""value_per_100g"":129.0,""value_for_portion"":129.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""protein_g_100g"":{""value_per_100g"":7.0,""value_for_portion"":7.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""carbs_g_100g"":{""value_per_100g"":24.6,""value_for_portion"":24.6,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""fat_g_100g"":{""value_per_100g"":0.3,""value_for_portion"":0.3,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""fiber_g_100g"":{""value_per_100g"":1.7,""value_for_portion"":1.7,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""sugar_g_100g"":{""value_per_100g"":0.8,""value_for_portion"":0.8,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""sodium_mg_100g"":{""value_per_100g"":10.0,""value_for_portion"":10.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""},""cholesterol_mg_100g"":{""value_per_100g"":0.0,""value_for_portion"":0.0,""label"":""Verified"",""source_url"":""https://i.fnri.dost.gov.ph/fct/library/report/3363"",""source_record_id"":""D084"",""source_name"":""DOST-FNRI PhilFCT""}}"
