estimate_id,ingredient_food_id,ingredient_name,edible_grams,weight_status,kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,fiber_g_100g,sugar_g_100g,sodium_mg_100g,cholesterol_mg_100g,nutrient_provenance_json
EST_REGIONAL_20260918_001_V1,FC000256,"Eggplant, boiled",250,ASSUMED_REFERENCE_MIXTURE,25.0,1.0,4.9,0.1,1.5,2.0,1.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D074"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3353"", ""value_for_portion"": 4.9, ""value_per_100g"": 4.9}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D074"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3353"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D074"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3353"", ""value_for_portion"": 0.1, ""value_per_100g"": 0.1}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D074"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3353"", ""value_for_portion"": 1.5, ""value_per_100g"": 1.5}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D074"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3353"", ""value_for_portion"": 25.0, ""value_per_100g"": 25.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D074"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3353"", ""value_for_portion"": 1.0, ""value_per_100g"": 1.0}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D074"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3353"", ""value_for_portion"": 1.0, ""value_per_100g"": 1.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D074"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3353"", ""value_for_portion"": 2.0, ""value_per_100g"": 2.0}}"
EST_REGIONAL_20260918_001_V1,FC000016,"Egg, chicken, whole, boiled",100,ASSUMED_REFERENCE_MIXTURE,166.0,14.0,0.6,12.0,0.0,0.4,136.0,460.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 0.6, ""value_per_100g"": 0.6}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 460.0, ""value_per_100g"": 460.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 12.0, ""value_per_100g"": 12.0}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 166.0, ""value_per_100g"": 166.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 14.0, ""value_per_100g"": 14.0}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 136.0, ""value_per_100g"": 136.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 0.4, ""value_per_100g"": 0.4}}"
EST_REGIONAL_20260918_001_V1,FC000061,Tomato,80,ASSUMED_REFERENCE_MIXTURE,25.0,0.8,5.2,0.1,0.3,3.7,11.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 5.2, ""value_per_100g"": 5.2}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 0.1, ""value_per_100g"": 0.1}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 0.3, ""value_per_100g"": 0.3}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 25.0, ""value_per_100g"": 25.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 0.8, ""value_per_100g"": 0.8}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 11.0, ""value_per_100g"": 11.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 3.7, ""value_per_100g"": 3.7}}"
EST_REGIONAL_20260918_001_V1,FC000333,"Onion, Bombay bulb, boiled",35,ASSUMED_REFERENCE_MIXTURE,47.0,1.2,9.7,0.4,1.3,4.6,3.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3421"", ""value_for_portion"": 9.7, ""value_per_100g"": 9.7}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3421"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3421"", ""value_for_portion"": 0.4, ""value_per_100g"": 0.4}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3421"", ""value_for_portion"": 1.3, ""value_per_100g"": 1.3}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3421"", ""value_for_portion"": 47.0, ""value_per_100g"": 47.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3421"", ""value_for_portion"": 1.2, ""value_per_100g"": 1.2}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3421"", ""value_for_portion"": 3.0, ""value_per_100g"": 3.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D142"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3421"", ""value_for_portion"": 4.6, ""value_per_100g"": 4.6}}"
EST_REGIONAL_20260918_001_V1,FC000070,Garlic bulb,6,ASSUMED_REFERENCE_MIXTURE,129.0,7.0,24.6,0.3,1.7,0.8,10.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D084"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3363"", ""value_for_portion"": 24.6, ""value_per_100g"": 24.6}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D084"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3363"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D084"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3363"", ""value_for_portion"": 0.3, ""value_per_100g"": 0.3}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D084"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3363"", ""value_for_portion"": 1.7, ""value_per_100g"": 1.7}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D084"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3363"", ""value_for_portion"": 129.0, ""value_per_100g"": 129.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D084"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3363"", ""value_for_portion"": 7.0, ""value_per_100g"": 7.0}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D084"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3363"", ""value_for_portion"": 10.0, ""value_per_100g"": 10.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D084"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3363"", ""value_for_portion"": 0.8, ""value_per_100g"": 0.8}}"
EST_REGIONAL_20260918_001_V1,FC000100,Fish sauce,8,ASSUMED_REFERENCE_MIXTURE,49.0,10.6,0.9,0.3,0.0,,5061.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4334"", ""value_for_portion"": 0.9, ""value_per_100g"": 0.9}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4334"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4334"", ""value_for_portion"": 0.3, ""value_per_100g"": 0.3}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4334"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4334"", ""value_for_portion"": 49.0, ""value_per_100g"": 49.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4334"", ""value_for_portion"": 10.6, ""value_per_100g"": 10.6}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N011"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4334"", ""value_for_portion"": 5061.0, ""value_per_100g"": 5061.0}, ""sugar_g_100g"": {""label"": ""Unknown"", ""source_name"": null, ""source_record_id"": null, ""source_url"": null, ""value_for_portion"": null, ""value_per_100g"": null}}"
EST_REGIONAL_20260918_001_V1,FC000642,"Oil, corn",12,ASSUMED_REFERENCE_MIXTURE,896.0,0.0,0.0,99.6,0.0,0.0,0.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 99.6, ""value_per_100g"": 99.6}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 896.0, ""value_per_100g"": 896.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
EST_REGIONAL_20260918_002_V1,FC000047,"Milkfish, broiled",100,ASSUMED_REFERENCE_MIXTURE,137.0,23.4,0.0,4.8,0.0,0.0,82.0,37.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""G075"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4055"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""G075"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4055"", ""value_for_portion"": 37.0, ""value_per_100g"": 37.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""G075"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4055"", ""value_for_portion"": 4.8, ""value_per_100g"": 4.8}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""G075"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4055"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""G075"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4055"", ""value_for_portion"": 137.0, ""value_per_100g"": 137.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""G075"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4055"", ""value_for_portion"": 23.4, ""value_per_100g"": 23.4}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""G075"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4055"", ""value_for_portion"": 82.0, ""value_per_100g"": 82.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""G075"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4055"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
EST_REGIONAL_20260918_002_V1,FC000270,"Squash fruit, boiled",100,ASSUMED_REFERENCE_MIXTURE,47.0,0.4,10.8,0.2,1.1,3.4,5.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D226"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3505"", ""value_for_portion"": 10.8, ""value_per_100g"": 10.8}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D226"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3505"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D226"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3505"", ""value_for_portion"": 0.2, ""value_per_100g"": 0.2}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D226"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3505"", ""value_for_portion"": 1.1, ""value_per_100g"": 1.1}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D226"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3505"", ""value_for_portion"": 47.0, ""value_per_100g"": 47.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D226"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3505"", ""value_for_portion"": 0.4, ""value_per_100g"": 0.4}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D226"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3505"", ""value_for_portion"": 5.0, ""value_per_100g"": 5.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D226"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3505"", ""value_for_portion"": 3.4, ""value_per_100g"": 3.4}}"
EST_REGIONAL_20260918_002_V1,FC000272,"String/Yard long bean pod, green, boiled",80,ASSUMED_REFERENCE_MIXTURE,52.0,4.0,7.9,0.5,2.7,,4.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D233"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3512"", ""value_for_portion"": 7.9, ""value_per_100g"": 7.9}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D233"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3512"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D233"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3512"", ""value_for_portion"": 0.5, ""value_per_100g"": 0.5}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D233"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3512"", ""value_for_portion"": 2.7, ""value_per_100g"": 2.7}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D233"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3512"", ""value_for_portion"": 52.0, ""value_per_100g"": 52.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D233"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3512"", ""value_for_portion"": 4.0, ""value_per_100g"": 4.0}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D233"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3512"", ""value_for_portion"": 4.0, ""value_per_100g"": 4.0}, ""sugar_g_100g"": {""label"": ""Unknown"", ""source_name"": null, ""source_record_id"": null, ""source_url"": null, ""value_for_portion"": null, ""value_per_100g"": null}}"
