food_id,kind,group,name,source_food_id,source_url,estimate_id,modeled_mass_g
FC002320,reference,FNRI,"Bago lvs, boiled",D007,https://i.fnri.dost.gov.ph/fct/library/report/3286,,
FC002321,reference,FNRI,"Bago bagin fruit, boiled",D008,https://i.fnri.dost.gov.ph/fct/library/report/3287,,
FC002322,reference,FNRI,"Cashew, young lvs, boiled",D042,https://i.fnri.dost.gov.ph/fct/library/report/3321,,
FC002323,reference,FNRI,"Cassava lvs, boiled",D044,https://i.fnri.dost.gov.ph/fct/library/report/3323,,
FC002324,reference,FNRI,"Cowpea lvs, boiled",D062,https://i.fnri.dost.gov.ph/fct/library/report/3341,,
FC002325,reference,FNRI,"East Indian lotus lvs, boiled",D072,https://i.fnri.dost.gov.ph/fct/library/report/3351,,
FC002326,reference,FNRI,"Fragrant premna lvs, boiled",D080,https://i.fnri.dost.gov.ph/fct/library/report/3359,,
FC002327,reference,FNRI,"Galo pulp, boiled",D082,https://i.fnri.dost.gov.ph/fct/library/report/3361,,
FC002328,reference,FNRI,"Galo seed, boiled",D083,https://i.fnri.dost.gov.ph/fct/library/report/3362,,
FC002329,reference,FNRI,"Himbaba-o lvs, boiled",D093,https://i.fnri.dost.gov.ph/fct/library/report/3372,,
FC002330,reference,FNRI,"Lagikway lvs, boiled",D112,https://i.fnri.dost.gov.ph/fct/library/report/3391,,
FC002331,reference,FNRI,"Lettuce tree, young lvs, boiled",D117,https://i.fnri.dost.gov.ph/fct/library/report/3396,,
FC002332,reference,FNRI,"Mango, young lvs, boiled",D125,https://i.fnri.dost.gov.ph/fct/library/report/3404,,
FC002333,reference,FNRI,"Mexican lilac flowers, boiled",D128,https://i.fnri.dost.gov.ph/fct/library/report/3407,,
FC002334,reference,FNRI,"Palm-like fig, young lvs, boiled",D152,https://i.fnri.dost.gov.ph/fct/library/report/3431,,
FC002335,reference,FNRI,"Papaya, young lvs, boiled",D156,https://i.fnri.dost.gov.ph/fct/library/report/3435,,
FC002336,reference,FNRI,"Papaya petioles, boiled",D158,https://i.fnri.dost.gov.ph/fct/library/report/3437,,
FC002337,reference,FNRI,"Sea purslane lvs, boiled",D191,https://i.fnri.dost.gov.ph/fct/library/report/3470,,
FC002338,reference,FNRI,"Sesbania lvs, boiled",D202,https://i.fnri.dost.gov.ph/fct/library/report/3481,,
FC002339,reference,FNRI,"Spanish plum, young lvs, boiled",D216,https://i.fnri.dost.gov.ph/fct/library/report/3495,,
FC002340,reference,FNRI,"Spiny pigweed/Thorny amaranth lvs, boiled",D218,https://i.fnri.dost.gov.ph/fct/library/report/3497,,
FC002341,reference,FNRI,"Tamarind lvs, boiled",D250,https://i.fnri.dost.gov.ph/fct/library/report/3529,,
FC002342,reference,FNRI,"Ivy gourd lvs, boiled",D252,https://i.fnri.dost.gov.ph/fct/library/report/3531,,
