food_id,name,reason,source_url,available_variant_ids,next_action
FC000015,"Egg noodles, cooked",No exact cooked egg/canton noodle entry. A140 is dry wheat canton; do not substitute dry for cooked.,https://i.fnri.dost.gov.ph/fct/library/search_item,FC000131;FC000132;FC000133;FC000147,Select an explicit variant; broad entry remains unresolved.
FC000029,"Chicken, whole meat",F113 is chicken whole; whole meat does not specify skin inclusion. Clarify edible meat/skin basis.,https://i.fnri.dost.gov.ph/fct/library/search_item,FC000101,Select an explicit variant; broad entry remains unresolved.
FC000034,Ground beef,Ground beef requires fat percentage and preparation. No exact generic ground-beef match found.,https://i.fnri.dost.gov.ph/fct/library/search_item,FC000134;FC000135;FC000136;FC000137,Select an explicit variant; broad entry remains unresolved.
FC000039,Pork lean meat,Pork lean meat requires cut. F157 is lean Boston butt and cannot represent all cuts.,https://i.fnri.dost.gov.ph/fct/library/search_item,FC000102,Select an explicit variant; broad entry remains unresolved.
FC000040,Ground pork,Ground pork requires fat percentage and preparation. No exact generic ground-pork match found.,https://i.fnri.dost.gov.ph/fct/library/search_item,FC000138;FC000139,Select an explicit variant; broad entry remains unresolved.
FC000043,Longganisa,"Longganisa requires meat/type: F223 chicken, F257 pork, F258 pork and beef. Specify type.",https://i.fnri.dost.gov.ph/fct/library/search_item,FC000103;FC000104;FC000105,Select an explicit variant; broad entry remains unresolved.
FC000052,Skipjack tuna,"Catalog G146 is frigate tuna (Tulingan), not skipjack. Exact skipjack species match not found.",https://i.fnri.dost.gov.ph/fct/library/search_item,FC000140;FC000141,Select an explicit variant; broad entry remains unresolved.
FC000054,Sardines,Specify sardine species and fresh/canned medium. G103 Indian sardine and G202/G203 canned variants differ.,https://i.fnri.dost.gov.ph/fct/library/search_item,FC000106;FC000107;FC000108,Select an explicit variant; broad entry remains unresolved.
FC000056,"Herring, dried",Tuyo is a preparation name. Specify fish species; no exact dried-herring match established.,https://i.fnri.dost.gov.ph/fct/library/search_item,,Specify species and preparation; no matching dried-herring record established.
FC000057,Shrimp,"Specify shrimp species and preparation. G113 banana prawn, G117 tiger prawn and G119 greasy back differ.",https://i.fnri.dost.gov.ph/fct/library/search_item,FC000109;FC000110;FC000111,Select an explicit variant; broad entry remains unresolved.
FC000059,Crab,"Aliases span mud crab and blue swimming crab. Specify species, fat inclusion and preparation (G036-G041).",https://i.fnri.dost.gov.ph/fct/library/search_item,FC000112;FC000113,Select an explicit variant; broad entry remains unresolved.
FC000066,Bok choy / pechay,Catalog separates pechay leaves D160 and petioles D162. Whole bok choy cannot be assigned leaf-only nutrients.,https://i.fnri.dost.gov.ph/fct/library/search_item,FC000114;FC000115;FC000142;FC000143,Select an explicit variant; broad entry remains unresolved.
FC000071,String beans,"Specify pod color and preparation. Sitaw overlaps FC000072; D232 is green pod, D234 red, D236 white.",https://i.fnri.dost.gov.ph/fct/library/search_item,FC000116;FC000117;FC000118,Select an explicit variant; broad entry remains unresolved.
FC000072,Yardlong bean,"Specify pod color and preparation. Sitaw overlaps FC000071. Bataw is hyacinth bean D102, not yardlong bean.",https://i.fnri.dost.gov.ph/fct/library/search_item,FC000116;FC000117;FC000118,Select an explicit variant; broad entry remains unresolved.
FC000073,Water spinach,D242 covers water spinach leaves only. Specify leaves versus leaves and stems.,https://i.fnri.dost.gov.ph/fct/library/search_item,FC000119,Select an explicit variant; broad entry remains unresolved.
FC000080,"Mango, ripe",Specify mango cultivar. Catalog has multiple ripe cultivar records; no generic ripe-mango match established.,https://i.fnri.dost.gov.ph/fct/library/search_item,FC000120;FC000121;FC000122,Select an explicit variant; broad entry remains unresolved.
FC000084,Guava,Specify guava type (red versus white). No single generic match established.,https://i.fnri.dost.gov.ph/fct/library/search_item,FC000123;FC000124,Select an explicit variant; broad entry remains unresolved.
FC000087,Avocado,Specify avocado type (red versus green). No single generic match established.,https://i.fnri.dost.gov.ph/fct/library/search_item,FC000125;FC000126,Select an explicit variant; broad entry remains unresolved.
FC000095,Powdered milk,"Specify powdered milk type: full cream J020, filled J019, non-fat J022 or skim J023.",https://i.fnri.dost.gov.ph/fct/library/search_item,FC000127;FC000128;FC000129;FC000130,Select an explicit variant; broad entry remains unresolved.
