estimate_id,ingredient_food_id,ingredient_name,edible_grams,weight_status,kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,fiber_g_100g,sugar_g_100g,sodium_mg_100g,cholesterol_mg_100g,nutrient_provenance_json
EST_WORLD_20260918_001_V1,FC000382,"Chicken, white meat, boiled",90,ASSUMED_REFERENCE_MIXTURE,173.0,32.9,0.0,4.6,0.0,0.0,81.0,,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""cholesterol_mg_100g"": {""label"": ""Unknown"", ""source_name"": null, ""source_record_id"": null, ""source_url"": null, ""value_for_portion"": null, ""value_per_100g"": null}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 4.6, ""value_per_100g"": 4.6}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 173.0, ""value_per_100g"": 173.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 32.9, ""value_per_100g"": 32.9}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 81.0, ""value_per_100g"": 81.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
EST_WORLD_20260918_001_V1,FC000016,"Egg, chicken, whole, boiled",40,ASSUMED_REFERENCE_MIXTURE,166.0,14.0,0.6,12.0,0.0,0.4,136.0,460.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 0.6, ""value_per_100g"": 0.6}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 460.0, ""value_per_100g"": 460.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 12.0, ""value_per_100g"": 12.0}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 166.0, ""value_per_100g"": 166.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 14.0, ""value_per_100g"": 14.0}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 136.0, ""value_per_100g"": 136.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 0.4, ""value_per_100g"": 0.4}}"
EST_WORLD_20260918_001_V1,FC000291,Lettuce lvs & petioles,60,ASSUMED_REFERENCE_MIXTURE,22.0,1.3,3.4,0.4,1.8,1.6,17.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D115"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3394"", ""value_for_portion"": 3.4, ""value_per_100g"": 3.4}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D115"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3394"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D115"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3394"", ""value_for_portion"": 0.4, ""value_per_100g"": 0.4}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D115"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3394"", ""value_for_portion"": 1.8, ""value_per_100g"": 1.8}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D115"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3394"", ""value_for_portion"": 22.0, ""value_per_100g"": 22.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D115"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3394"", ""value_for_portion"": 1.3, ""value_per_100g"": 1.3}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D115"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3394"", ""value_for_portion"": 17.0, ""value_per_100g"": 17.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D115"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3394"", ""value_for_portion"": 1.6, ""value_per_100g"": 1.6}}"
EST_WORLD_20260918_001_V1,FC000061,Tomato,30,ASSUMED_REFERENCE_MIXTURE,25.0,0.8,5.2,0.1,0.3,3.7,11.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 5.2, ""value_per_100g"": 5.2}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 0.1, ""value_per_100g"": 0.1}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 0.3, ""value_per_100g"": 0.3}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 25.0, ""value_per_100g"": 25.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 0.8, ""value_per_100g"": 0.8}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 11.0, ""value_per_100g"": 11.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""D257"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3536"", ""value_for_portion"": 3.7, ""value_per_100g"": 3.7}}"
EST_WORLD_20260918_001_V1,FC000099,Soy sauce,12,ASSUMED_REFERENCE_MIXTURE,75.0,3.5,15.0,0.1,1.0,0.5,2041.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N023"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4346"", ""value_for_portion"": 15.0, ""value_per_100g"": 15.0}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N023"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4346"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N023"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4346"", ""value_for_portion"": 0.1, ""value_per_100g"": 0.1}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N023"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4346"", ""value_for_portion"": 1.0, ""value_per_100g"": 1.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N023"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4346"", ""value_for_portion"": 75.0, ""value_per_100g"": 75.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N023"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4346"", ""value_for_portion"": 3.5, ""value_per_100g"": 3.5}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N023"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4346"", ""value_for_portion"": 2041.0, ""value_per_100g"": 2041.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""N023"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4346"", ""value_for_portion"": 0.5, ""value_per_100g"": 0.5}}"
EST_WORLD_20260918_001_V1,FC000969,"Sugar, brown",8,ASSUMED_REFERENCE_MIXTURE,398.0,0.1,98.7,0.3,0.0,97.6,15.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""M042"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4313"", ""value_for_portion"": 98.7, ""value_per_100g"": 98.7}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""M042"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4313"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""M042"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4313"", ""value_for_portion"": 0.3, ""value_per_100g"": 0.3}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""M042"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4313"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""M042"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4313"", ""value_for_portion"": 398.0, ""value_per_100g"": 398.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""M042"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4313"", ""value_for_portion"": 0.1, ""value_per_100g"": 0.1}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""M042"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4313"", ""value_for_portion"": 15.0, ""value_per_100g"": 15.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""M042"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4313"", ""value_for_portion"": 97.6, ""value_per_100g"": 97.6}}"
EST_WORLD_20260918_001_V1,FC000642,"Oil, corn",5,ASSUMED_REFERENCE_MIXTURE,896.0,0.0,0.0,99.6,0.0,0.0,0.0,0.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 99.6, ""value_per_100g"": 99.6}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 896.0, ""value_per_100g"": 896.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""K009"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4269"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
EST_WORLD_20260918_002_V1,FC000016,"Egg, chicken, whole, boiled",70,ASSUMED_REFERENCE_MIXTURE,166.0,14.0,0.6,12.0,0.0,0.4,136.0,460.0,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 0.6, ""value_per_100g"": 0.6}, ""cholesterol_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 460.0, ""value_per_100g"": 460.0}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 12.0, ""value_per_100g"": 12.0}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 166.0, ""value_per_100g"": 166.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 14.0, ""value_per_100g"": 14.0}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 136.0, ""value_per_100g"": 136.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""H004"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/4216"", ""value_for_portion"": 0.4, ""value_per_100g"": 0.4}}"
EST_WORLD_20260918_002_V1,FC001237,"Beverages, water, tap, drinking",130,ASSUMED_REFERENCE_MIXTURE,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"{""carbs_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""cholesterol_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fat_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""fiber_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""protein_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""sodium_mg_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 4.0, ""value_per_100g"": 4.0}, ""sugar_g_100g"": {""label"": ""Other source"", ""source_name"": ""USDA FoodData Central SR Legacy"", ""source_record_id"": ""USDA_FC001237_173647"", ""source_url"": ""https://fdc.nal.usda.gov/food-details/173647/nutrients"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
EST_WORLD_20260918_002_V1,FC000382,"Chicken, white meat, boiled",15,ASSUMED_REFERENCE_MIXTURE,173.0,32.9,0.0,4.6,0.0,0.0,81.0,,"{""carbs_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""cholesterol_mg_100g"": {""label"": ""Unknown"", ""source_name"": null, ""source_record_id"": null, ""source_url"": null, ""value_for_portion"": null, ""value_per_100g"": null}, ""fat_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 4.6, ""value_per_100g"": 4.6}, ""fiber_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}, ""kcal_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 173.0, ""value_per_100g"": 173.0}, ""protein_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 32.9, ""value_per_100g"": 32.9}, ""sodium_mg_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 81.0, ""value_per_100g"": 81.0}, ""sugar_g_100g"": {""label"": ""Verified"", ""source_name"": ""DOST-FNRI PhilFCT"", ""source_record_id"": ""F111"", ""source_url"": ""https://i.fnri.dost.gov.ph/fct/library/report/3818"", ""value_for_portion"": 0.0, ""value_per_100g"": 0.0}}"
