food_id,kind,group,name,source_food_id,source_url,estimate_id,modeled_mass_g
FC002820,reference,USDA,"Restaurant, Chinese, general tso's chicken",167675,https://fdc.nal.usda.gov/food-details/167675/nutrients,,
FC002821,reference,USDA,"Restaurant, Chinese, vegetable chow mein, without meat or noodles",168084,https://fdc.nal.usda.gov/food-details/168084/nutrients,,
FC002822,reference,USDA,"Noodles, chinese, chow mein",168905,https://fdc.nal.usda.gov/food-details/168905/nutrients,,
FC002823,reference,USDA,"Noodles, japanese, soba, dry",168906,https://fdc.nal.usda.gov/food-details/168906/nutrients,,
FC002824,reference,USDA,"Noodles, japanese, somen, dry",168908,https://fdc.nal.usda.gov/food-details/168908/nutrients,,
FC002825,reference,USDA,"Broccoli, chinese, cooked",169392,https://fdc.nal.usda.gov/food-details/169392/nutrients,,
FC002826,reference,USDA,"Rice, white, steamed, Chinese restaurant",169712,https://fdc.nal.usda.gov/food-details/169712/nutrients,,
FC002827,reference,USDA,"Noodles, flat, crunchy, Chinese restaurant",169735,https://fdc.nal.usda.gov/food-details/169735/nutrients,,
FC002828,reference,USDA,"Cabbage, japanese style, fresh, pickled",169890,https://fdc.nal.usda.gov/food-details/169890/nutrients,,
FC002829,reference,USDA,"Sauce, teriyaki, ready-to-serve",171167,https://fdc.nal.usda.gov/food-details/171167/nutrients,,
FC002830,reference,USDA,"Soup, wonton, Chinese restaurant",171821,https://fdc.nal.usda.gov/food-details/171821/nutrients,,
FC002831,reference,USDA,"Bread, naan, plain, commercially prepared, refrigerated",171845,https://fdc.nal.usda.gov/food-details/171845/nutrients,,
FC002832,reference,USDA,"Hummus, home prepared",172454,https://fdc.nal.usda.gov/food-details/172454/nutrients,,
FC002833,reference,USDA,"Falafel, home-prepared",172455,https://fdc.nal.usda.gov/food-details/172455/nutrients,,
FC002834,reference,USDA,"Bread, pita, white, unenriched",172816,https://fdc.nal.usda.gov/food-details/172816/nutrients,,
FC002835,reference,USDA,"Sauce, teriyaki, ready-to-serve, reduced sodium",172890,https://fdc.nal.usda.gov/food-details/172890/nutrients,,
