group,url,reviewed_date,role,access_note,nutrition_policy
Botejyu,https://botejyu.com.ph/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Panda Express,https://www.pandaexpress.com.ph/our-food,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Royal Indian Curry House by Swaadisht,https://www.foodpanda.ph/restaurant/ue3h/royal-indian-curry-house-by-swaadisht-ue3h,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,Official delivery search-index listing reviewed; direct open failed.,Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Mister Kabab,https://www.misterkabab.com.ph/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Banana Leaf,https://bananaleaf.com.ph/menu/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Shake Shack,https://www.shakeshack.ph/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Japanese oyakodon,https://www.justonecookbook.com/oyakodon/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Japanese gyudon,https://www.justonecookbook.com/gyudon/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Chinese mapo tofu,https://thewoksoflife.com/ma-po-tofu-real-deal/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Chinese shrimp fried rice,https://thewoksoflife.com/shrimp-fried-rice/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Indian chana masala,https://www.indianhealthyrecipes.com/chana-masala/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Indian chicken biryani,https://www.indianhealthyrecipes.com/chicken-biryani-recipe/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Middle Eastern chicken shawarma,https://www.themediterraneandish.com/grilled-chicken-shawarma/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Middle Eastern chicken kofta,https://www.themediterraneandish.com/grilled-chicken-kofta/,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
Singaporean,https://www.visitsingapore.com/content/dam/desktop/global/about-singapore/traveller-information/466-tos-singaporelbb-2015-complete-small.pdf,2026-09-18,IDENTITY_ONLY_NOT_NUTRITION,"Primary menu/recipe/tourism identity source reviewed via web search/open. Historic descriptions do not establish current availability. All recipe weights independently assumed, not copied from source.",Ingredient masses assumed; no measured branded/regional nutrition or household weight.
