source,source_food_id,name,reason
USDA,167675,"Restaurant, Chinese, general tso's chicken",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,168084,"Restaurant, Chinese, vegetable chow mein, without meat or noodles",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,168905,"Noodles, chinese, chow mein",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,168906,"Noodles, japanese, soba, dry",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,168908,"Noodles, japanese, somen, dry",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,169392,"Broccoli, chinese, cooked",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,169712,"Rice, white, steamed, Chinese restaurant",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,169735,"Noodles, flat, crunchy, Chinese restaurant",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,169890,"Cabbage, japanese style, fresh, pickled",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,171167,"Sauce, teriyaki, ready-to-serve",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,171821,"Soup, wonton, Chinese restaurant",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,171845,"Bread, naan, plain, commercially prepared, refrigerated",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,172454,"Hummus, home prepared",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,172455,"Falafel, home-prepared",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,172816,"Bread, pita, white, unenriched",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,172890,"Sauce, teriyaki, ready-to-serve, reduced sodium",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,174077,"Bread, naan, whole wheat, commercially prepared, refrigerated",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,174288,Chickpea flour (besan),Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,174289,"Hummus, commercial",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
USDA,174807,"Soup, egg drop, Chinese restaurant",Full retained FNRI catalog checked; exact source identity absent. Historical US reference retained as named; not Philippine restaurant nutrition.
